sseqid,stitle,mismatch,positive,gaps,ppos,pident,qcovs,evalue,bitscore,qseqid,cleaned_filename
1_FNME01000001_03357,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_FNME01000001
1_NSRK01000001_00348,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NSRK01000001
146_VTFG01000001_04332,unannotated protein,95,350,0,87.94,76.131,100,0.0,634.0,pao1_fabv,146_VTFG01000001
1_MULG01000001_02695,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_MULG01000001
1_SCZL01000001_00499,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_SCZL01000001
1_NSTU01000001_00598,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NSTU01000001
79_JYLJ01000010_03314,unannotated protein,98,346,1,86.93,75.126,100,0.0,619.0,pao1_fabv,79_JYLJ01000010
120_MDFI01000001_05953,unannotated protein,98,348,5,86.57,74.378,100,0.0,619.0,pao1_fabv,120_MDFI01000001
9_PODV01000100_04610,unannotated protein,99,346,1,86.93,74.874,100,0.0,619.0,pao1_fabv,9_PODV01000100
24_SCFX01000010_02547,unannotated protein,153,309,5,78.03,60.101000000000006,98,2.0499999999999986e-167,472.0,pao1_fabv,24_SCFX01000010
1_JTXB01000001_02952,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_JTXB01000001
1_VLHR01000010_03154,unannotated protein,1,397,0,99.75,99.749,100,0.0,813.0,pao1_fabv,1_VLHR01000010
1_CCOJ01000001_01758,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CCOJ01000001
47_PPEF01000001_01890,unannotated protein,83,356,0,89.67,79.093,99,0.0,664.0,pao1_fabv,47_PPEF01000001
1_JTPJ01000001_02051,unannotated protein,1,398,0,100.0,99.749,100,0.0,813.0,pao1_fabv,1_JTPJ01000001
1_QZZQ01000007_02009,unannotated protein,1,397,0,99.75,99.749,100,0.0,812.0,pao1_fabv,1_QZZQ01000007
1_RWSS01000001_03909,unannotated protein,1,397,0,99.75,99.749,100,0.0,813.0,pao1_fabv,1_RWSS01000001
1_LYTQ01000100_03683,unannotated protein,1,397,0,99.75,99.749,100,0.0,812.0,pao1_fabv,1_LYTQ01000100
1_LEHO01000001_04647,unannotated protein,1,397,0,99.75,99.749,100,0.0,813.0,pao1_fabv,1_LEHO01000001
9_POFW01000100_03059,unannotated protein,100,347,1,87.19,74.623,100,0.0,619.0,pao1_fabv,9_POFW01000100
1_NSPB01000001_02838,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NSPB01000001
1_LLTT01000001_04958,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_LLTT01000001
1_FRLE01000121_01806,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_FRLE01000121
1_CH482383_01960,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CH482383
1_KI914466_03455,unannotated protein,1,397,0,99.75,99.749,100,0.0,812.0,pao1_fabv,1_KI914466
1_LLPN01000001_02227,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_LLPN01000001
1_VWQD01000001_00817,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_VWQD01000001
72_QJRV01000010_00348,unannotated protein,154,307,5,77.53,59.848,98,9.209999999999994e-167,471.0,pao1_fabv,72_QJRV01000010
1_LEHZ01000001_02320,unannotated protein,1,397,0,99.75,99.749,100,0.0,813.0,pao1_fabv,1_LEHZ01000001
9_QGAA01000001_00008,unannotated protein,96,350,0,87.94,75.87899999999998,100,0.0,634.0,pao1_fabv,9_QGAA01000001
1_JTPZ01000001_05476,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_JTPZ01000001
1_JTRJ01000001_01215,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_JTRJ01000001
1_NSOV01000001_02770,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NSOV01000001
1_CP022002_04884,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CP022002
1_RXBP01000001_05686,unannotated protein,1,397,0,99.75,99.749,100,0.0,812.0,pao1_fabv,1_RXBP01000001
9_QEHQ01000001_03823,unannotated protein,97,347,1,87.19,75.377,100,0.0,621.0,pao1_fabv,9_QEHQ01000001
1_NSTG01000001_00627,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NSTG01000001
1_QZXZ01000047_00517,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_QZXZ01000047
58_PJCK01000001_01696,unannotated protein,154,308,5,77.78,59.848,98,1.849999999999999e-166,469.0,pao1_fabv,58_PJCK01000001
1_CVUU01000001_06147,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CVUU01000001
9_CP026332_04392,unannotated protein,153,309,5,78.03,60.101000000000006,98,1.999999999999999e-167,472.0,pao1_fabv,9_CP026332
1_LLNK01000001_03841,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_LLNK01000001
1_FRQO01000063_01788,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_FRQO01000063
1_CWGH01000001_05949,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CWGH01000001
1_MWXQ01000001_00611,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_MWXQ01000001
1_CAADLE010000001_04792,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CAADLE010000001
1_JTWV01000001_05032,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_JTWV01000001
9_VSWG01000100_03340,unannotated protein,156,308,5,77.78,59.343,98,1.129999999999999e-165,468.0,pao1_fabv,9_VSWG01000100
1_QVBM01000099_01606,unannotated protein,1,397,0,99.75,99.749,100,0.0,812.0,pao1_fabv,1_QVBM01000099
58_CP010359_00052,unannotated protein,154,308,5,77.78,59.848,98,1.6999999999999984e-166,469.0,pao1_fabv,58_CP010359
1_AYON01000001_03588,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_AYON01000001
1_JTXT01000001_02113,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_JTXT01000001
1_RWMS01000001_01291,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_RWMS01000001
1_LLVP01000001_02585,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_LLVP01000001
1_QZZJ01000002_00817,unannotated protein,1,397,0,99.75,99.749,100,0.0,812.0,pao1_fabv,1_QZZJ01000002
48_MULN01000112_01324,unannotated protein,95,346,1,86.93,75.87899999999998,100,0.0,625.0,pao1_fabv,48_MULN01000112
1_FRPL01000152_04378,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_FRPL01000152
1_NDFV01000064_02748,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NDFV01000064
1_RWMA01000001_01941,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_RWMA01000001
1_LLOR01000001_05017,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_LLOR01000001
1_NIZQ01000100_03365,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NIZQ01000100
1_CAADLT010000001_01943,unannotated protein,1,397,0,99.75,99.749,100,0.0,812.0,pao1_fabv,1_CAADLT010000001
9_VOBG01000001_04461,unannotated protein,100,345,1,86.68,74.623,100,0.0,619.0,pao1_fabv,9_VOBG01000001
4_UVTD01000141_01610,unannotated protein,101,347,1,87.19,74.372,100,0.0,616.0,pao1_fabv,4_UVTD01000141
9_022738_00794,unannotated protein,157,311,5,78.54,59.091,98,6.359999999999995e-165,466.0,pao1_fabv,9_022738
1_CABMLY010000001_03508,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CABMLY010000001
1_FRPR01000088_04266,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_FRPR01000088
1_LRYO01000001_00049,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_LRYO01000001
1_LEKC01000001_05167,unannotated protein,1,397,0,99.75,99.749,100,0.0,813.0,pao1_fabv,1_LEKC01000001
1_RXDE01000001_00230,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_RXDE01000001
1_LZQG01000001_04548,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_LZQG01000001
1_FRJS01000240_02260,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_FRJS01000240
1_RWPJ01000001_00244,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_RWPJ01000001
1_CAADNI010000001_02275,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CAADNI010000001
1_CCOZ01000001_01355,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CCOZ01000001
9_NEIS01000001_04438,unannotated protein,154,308,5,77.78,59.848,98,2.5699999999999983e-166,469.0,pao1_fabv,9_NEIS01000001
