"mod_species","ani","subject","clade","subclade"
"aeruginosa",99.8219,"GCF_001449225.1_WH-SGI-V-07068_genomic.fna","aeruginosa",""
"aeruginosa",99.5468,"GCF_002942045.1_ASM294204v1_genomic.fna","aeruginosa",""
"aeruginosa",99.5158,"GCF_000791305.1_AZPAE14927_genomic.fna","aeruginosa",""
"aeruginosa",99.5146,"GCF_003628835.1_ASM362883v1_genomic.fna","aeruginosa",""
"aeruginosa",99.5131,"GCF_002239425.1_ASM223942v1_genomic.fna","aeruginosa",""
"aeruginosa",99.512,"GCF_001483235.1_ASM148323v1_genomic.fna","aeruginosa",""
"aeruginosa",99.5051,"GCF_000789885.1_AZPAE14915_genomic.fna","aeruginosa",""
"aeruginosa",99.5024,"GCF_003628905.1_ASM362890v1_genomic.fna","aeruginosa",""
"aeruginosa",99.5014,"GCF_000468935.2_ASM46893v1_genomic.fna","aeruginosa",""
"aeruginosa",99.5009,"GCF_001449655.1_WH-SGI-V-07178_genomic.fna","aeruginosa",""
"aeruginosa",99.5,"GCF_001452205.1_WH-SGI-V-07640_genomic.fna","aeruginosa",""
"aeruginosa",99.4985,"GCF_000629065.1_Pseu_aeru_BWH033_V1_genomic.fna","aeruginosa",""
"aeruginosa",99.4971,"GCF_001451655.1_WH-SGI-V-07489_genomic.fna","aeruginosa",""
"aeruginosa",99.4964,"GCF_002239445.1_ASM223944v1_genomic.fna","aeruginosa",""
"aeruginosa",99.4961,"GCF_001516165.2_ASM151616v2_genomic.fna","aeruginosa",""
"aeruginosa",99.4875,"GCF_001451865.1_WH-SGI-V-07502_genomic.fna","aeruginosa",""
"aeruginosa",99.487,"GCF_001451375.1_WH-SGI-V-07417_genomic.fna","aeruginosa",""
"aeruginosa",99.4826,"GCF_001374295.1_291_15_211Ba_contigs_500_genomic.fna","aeruginosa",""
"aeruginosa",99.4793,"GCF_002330515.1_ASM233051v1_genomic.fna","aeruginosa",""
"aeruginosa",99.4789,"GCF_002325965.1_ASM232596v1_genomic.fna","aeruginosa",""
"aeruginosa",99.4764,"GCF_003267915.1_ASM326791v1_genomic.fna","aeruginosa",""
"aeruginosa",99.475,"GCF_002326725.1_ASM232672v1_genomic.fna","aeruginosa",""
"aeruginosa",99.472,"GCF_002326585.1_ASM232658v1_genomic.fna","aeruginosa",""
"aeruginosa",99.4706,"GCF_000520215.1_Pseu_aeru_Z61_V1_genomic.fna","aeruginosa",""
"aeruginosa",99.4703,"GCF_001453755.1_WH-SGI-V-07705_genomic.fna","aeruginosa",""
"aeruginosa",99.47,"GCF_003347525.1_ASM334752v1_genomic.fna","aeruginosa",""
"aeruginosa",99.4685,"GCF_001471355.1_ASM147135v2_genomic.fna","aeruginosa",""
"aeruginosa",99.4668,"GCF_003611395.1_ASM361139v1_genomic.fna","aeruginosa",""
"aeruginosa",99.4653,"GCF_000478485.2_Pseu_sp_P179_V1_genomic.fna","aeruginosa",""
"aeruginosa",99.4647,"GCF_003411745.1_ASM341174v1_genomic.fna","aeruginosa",""
"aeruginosa",99.4642,"GCF_001756355.1_ASM175635v1_genomic.fna","aeruginosa",""
"aeruginosa",99.4639,"GCF_000789605.1_AZPAE14841_genomic.fna","aeruginosa",""
"aeruginosa",99.4635,"GCF_000790215.1_AZPAE14867_genomic.fna","aeruginosa",""
"aeruginosa",99.463,"GCF_003628865.1_ASM362886v1_genomic.fna","aeruginosa",""
"aeruginosa",99.462,"GCF_000792925.1_AZPAE15013_genomic.fna","aeruginosa",""
"aeruginosa",99.4566,"GCF_003611335.1_ASM361133v1_genomic.fna","aeruginosa",""
"aeruginosa",99.4564,"GCF_003611355.1_ASM361135v1_genomic.fna","aeruginosa",""
"aeruginosa",99.4531,"GCF_002188695.1_ASM218869v1_genomic.fna","aeruginosa",""
"aeruginosa",99.4528,"GCF_003055275.1_ASM305527v1_genomic.fna","aeruginosa",""
"aeruginosa",99.4524,"GCF_003628805.1_ASM362880v1_genomic.fna","aeruginosa",""
"aeruginosa",99.4514,"GCF_001454125.1_WH-SGI-V-07290_genomic.fna","aeruginosa",""
"aeruginosa",99.4488,"GCF_002326365.1_ASM232636v1_genomic.fna","aeruginosa",""
"aeruginosa",99.4484,"GCF_001451335.1_WH-SGI-V-07409_genomic.fna","aeruginosa",""
"aeruginosa",99.4482,"GCF_002194095.1_ASM219409v1_genomic.fna","aeruginosa",""
"aeruginosa",99.4444,"GCF_002964255.1_ASM296425v1_genomic.fna","aeruginosa",""
"aeruginosa",99.4423,"GCF_000796175.1_AZPAE14410_genomic.fna","aeruginosa",""
"aeruginosa",99.4382,"GCF_000750905.1_PSE305_genomic.fna","aeruginosa",""
"aeruginosa",99.4334,"GCF_001909655.1_ASM190965v1_genomic.fna","aeruginosa",""
"aeruginosa",99.4333,"GCF_003410745.1_ASM341074v1_genomic.fna","aeruginosa",""
"aeruginosa",99.4319,"GCF_002021635.2_ASM202163v2_genomic.fna","aeruginosa",""
"aeruginosa",99.4274,"GCF_003325515.1_ASM332551v1_genomic.fna","aeruginosa",""
"aeruginosa",99.4259,"GCF_003411805.1_ASM341180v1_genomic.fna","aeruginosa",""
"aeruginosa",99.4154,"GCF_000791155.1_AZPAE14904_genomic.fna","aeruginosa",""
"aeruginosa",99.4154,"GCF_000792675.1_AZPAE15001_genomic.fna","aeruginosa",""
"aeruginosa",99.4105,"GCF_003628935.1_ASM362893v1_genomic.fna","aeruginosa",""
"aeruginosa",99.4086,"GCF_002021605.1_ASM202160v1_genomic.fna","aeruginosa",""
"aeruginosa",99.399,"GCF_003325715.1_ASM332571v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3961,"GCF_003628985.1_ASM362898v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3906,"GCF_002794745.1_ASM279474v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3902,"GCF_001452605.1_WH-SGI-V-07697_genomic.fna","aeruginosa",""
"aeruginosa",99.3876,"GCF_000481385.1_Pseu_aeru_BWH016_V1_genomic.fna","aeruginosa",""
"aeruginosa",99.3875,"GCF_003630525.1_ASM363052v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3869,"GCF_003629755.1_ASM362975v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3857,"GCF_003055405.1_ASM305540v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3847,"GCF_003698395.1_ASM369839v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3833,"GCF_001452415.1_WH-SGI-V-07681_genomic.fna","aeruginosa",""
"aeruginosa",99.38,"GCF_003411985.1_ASM341198v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3777,"GCF_001453735.1_WH-SGI-V-07701_genomic.fna","aeruginosa",""
"aeruginosa",99.3773,"GCF_000480765.1_Pseu_aeru_BL19_V1_genomic.fna","aeruginosa",""
"aeruginosa",99.3772,"GCF_001450665.1_WH-SGI-V-07224_genomic.fna","aeruginosa",""
"aeruginosa",99.377,"GCF_001450005.1_WH-SGI-V-07237_genomic.fna","aeruginosa",""
"aeruginosa",99.3761,"GCF_001451025.1_WH-SGI-V-07390_genomic.fna","aeruginosa",""
"aeruginosa",99.3759,"GCF_000797325.1_AZPAE12422_genomic.fna","aeruginosa",""
"aeruginosa",99.3751,"GCF_001452725.1_WH-SGI-V-07706_genomic.fna","aeruginosa",""
"aeruginosa",99.3748,"GCF_003628945.1_ASM362894v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3747,"GCF_000480905.1_Pseu_aeru_BL12_V1_genomic.fna","aeruginosa",""
"aeruginosa",99.3741,"GCF_001518975.1_ASM151897v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3738,"GCF_001450825.1_WH-SGI-V-07371_genomic.fna","aeruginosa",""
"aeruginosa",99.3736,"GCF_002326435.1_ASM232643v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3725,"GCF_003411905.1_ASM341190v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3724,"GCF_001452615.1_WH-SGI-V-07699_genomic.fna","aeruginosa",""
"aeruginosa",99.3714,"GCF_001451015.1_WH-SGI-V-07389_genomic.fna","aeruginosa",""
"aeruginosa",99.371,"GCF_001450085.1_WH-SGI-V-07244_genomic.fna","aeruginosa",""
"aeruginosa",99.3709,"GCF_000796385.1_AZPAE14499_genomic.fna","aeruginosa",""
"aeruginosa",99.3702,"GCF_002005755.1_ASM200575v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3702,"GCF_001449165.1_WH-SGI-V-07057_genomic.fna","aeruginosa",""
"aeruginosa",99.3668,"GCF_001453025.1_WH-SGI-V-07267_genomic.fna","aeruginosa",""
"aeruginosa",99.3665,"GCF_000480685.1_Pseu_aeru_BL23_V1_genomic.fna","aeruginosa",""
"aeruginosa",99.3664,"GCF_001554695.1_ASM155469v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3664,"GCF_000287815.1_ASM28781v2_genomic.fna","aeruginosa",""
"aeruginosa",99.3653,"GCF_001451255.1_WH-SGI-V-07388_genomic.fna","aeruginosa",""
"aeruginosa",99.3652,"GCF_001013395.1_ASM101339v1_genomic.fna","aeruginosa",""
"aeruginosa",99.364,"GCF_000797055.1_AZPAE12411_genomic.fna","aeruginosa",""
"aeruginosa",99.3637,"GCF_002001235.1_ASM200123v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3636,"GCF_000481845.1_Pseu_aeru_UDL_V1_genomic.fna","aeruginosa",""
"aeruginosa",99.3633,"GCF_002193895.1_ASM219389v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3627,"GCF_001554705.1_ASM155470v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3623,"GCF_001451265.1_WH-SGI-V-07404_genomic.fna","aeruginosa",""
"aeruginosa",99.3622,"GCF_000647635.1_PseAerIGB83_1.0_genomic.fna","aeruginosa",""
"aeruginosa",99.3618,"GCF_003410805.1_ASM341080v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3617,"GCF_001619935.1_ASM161993v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3617,"GCF_001554735.1_ASM155473v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3612,"GCF_001452915.1_WH-SGI-V-07254_genomic.fna","aeruginosa",""
"aeruginosa",99.3609,"GCF_003055445.1_ASM305544v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3604,"GCF_000794335.1_AZPAE14838_genomic.fna","aeruginosa",""
"aeruginosa",99.3604,"GCF_000478465.2_Pseu_aeru_Stone_130_V1_genomic.fna","aeruginosa",""
"aeruginosa",99.3602,"GCF_000794175.1_AZPAE14831_genomic.fna","aeruginosa",""
"aeruginosa",99.3591,"GCF_002193925.1_ASM219392v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3589,"GCF_003410645.1_ASM341064v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3569,"GCF_000796085.1_AZPAE14402_genomic.fna","aeruginosa",""
"aeruginosa",99.3565,"GCF_000824445.1_LES_CF_sputum_CF03_contigs_3_a1_genomic.fna","aeruginosa",""
"aeruginosa",99.3558,"GCF_000792045.1_AZPAE15044_genomic.fna","aeruginosa",""
"aeruginosa",99.3556,"GCF_002330125.1_ASM233012v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3552,"GCF_002329965.1_ASM232996v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3542,"GCF_000824665.1_LES_CF_sputum_CF03_contigs_34_a1_genomic.fna","aeruginosa",""
"aeruginosa",99.354,"GCF_000796525.1_AZPAE12138_genomic.fna","aeruginosa",""
"aeruginosa",99.3539,"GCF_001450795.1_WH-SGI-V-07246_genomic.fna","aeruginosa",""
"aeruginosa",99.3536,"GCF_003411285.1_ASM341128v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3534,"GCF_003629485.1_ASM362948v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3533,"GCF_003411555.1_ASM341155v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3532,"GCF_002329815.1_ASM232981v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3529,"GCF_000792625.1_AZPAE14998_genomic.fna","aeruginosa",""
"aeruginosa",99.3528,"GCF_000823965.1_LES_CF_sputum_CF03_contigs_11_a1_genomic.fna","aeruginosa",""
"aeruginosa",99.3526,"GCF_000794745.1_AZPAE14701_genomic.fna","aeruginosa",""
"aeruginosa",99.3524,"GCF_001554745.1_ASM155474v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3523,"GCF_001450045.1_WH-SGI-V-07240_genomic.fna","aeruginosa",""
"aeruginosa",99.3514,"GCF_001555225.1_ASM155522v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3513,"GCF_000793255.1_AZPAE15060_genomic.fna","aeruginosa",""
"aeruginosa",99.3511,"GCF_000824625.1_LES_CF_sputum_CF03_contigs_7_a1_genomic.fna","aeruginosa",""
"aeruginosa",99.3507,"GCF_000824065.1_LES_CF_sputum_CF03_contigs_18_a1_genomic.fna","aeruginosa",""
"aeruginosa",99.3503,"GCF_000583955.1_ASM58395v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3499,"GCF_000481525.1_Pseu_aeru_BWH009_V1_genomic.fna","aeruginosa",""
"aeruginosa",99.3496,"GCF_001909795.1_ASM190979v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3491,"GCF_000583915.1_ASM58391v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3487,"GCF_000583995.1_ASM58399v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3485,"GCF_000824425.1_LES_CF_sputum_CF03_contigs_2_a1_genomic.fna","aeruginosa",""
"aeruginosa",99.3483,"GCF_000583895.1_ASM58389v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3482,"GCF_002194075.1_ASM219407v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3478,"GCF_000824565.1_LES_CF_sputum_CF03_contigs_27_a1_genomic.fna","aeruginosa",""
"aeruginosa",99.3477,"GCF_000824405.1_LES_CF_sputum_CF03_contigs_1_a1_genomic.fna","aeruginosa",""
"aeruginosa",99.3476,"GCF_001449425.1_WH-SGI-V-07069_genomic.fna","aeruginosa",""
"aeruginosa",99.3472,"GCF_001449365.1_WH-SGI-V-07051_genomic.fna","aeruginosa",""
"aeruginosa",99.3471,"GCF_000824645.1_LES_CF_sputum_CF03_contigs_12_a1_genomic.fna","aeruginosa",""
"aeruginosa",99.3469,"GCF_000508765.1_ASM50876v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3468,"GCF_002329975.1_ASM232997v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3463,"GCF_000824365.1_LES_CF_sputum_CF03_contigs_39_a1_genomic.fna","aeruginosa",""
"aeruginosa",99.3461,"GCF_000824525.1_LES_CF_sputum_CF03_contigs_19_a1_genomic.fna","aeruginosa",""
"aeruginosa",99.346,"GCF_000824205.1_LES_CF_sputum_CF03_contigs_28_a1_genomic.fna","aeruginosa",""
"aeruginosa",99.346,"GCF_001444815.1_ASM144481v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3455,"GCF_000795985.1_AZPAE14390_genomic.fna","aeruginosa",""
"aeruginosa",99.3455,"GCF_001451575.1_WH-SGI-V-07485_genomic.fna","aeruginosa",""
"aeruginosa",99.3455,"GCF_003410855.1_ASM341085v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3452,"GCF_000751715.1_HGAP_corrected_genomic.fna","aeruginosa",""
"aeruginosa",99.3452,"GCF_002193685.1_ASM219368v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3452,"GCF_003073795.1_ASM307379v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3449,"GCF_000794455.1_AZPAE14570_genomic.fna","aeruginosa",""
"aeruginosa",99.3449,"GCF_002914495.1_ASM291449v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3449,"GCF_000789545.1_AZPAE14918_genomic.fna","aeruginosa",""
"aeruginosa",99.3445,"GCF_000824325.1_LES_CF_sputum_CF03_contigs_36_a1_genomic.fna","aeruginosa",""
"aeruginosa",99.3443,"GCF_000823905.1_LES_CF_sputum_CF03_contigs_8_a1_genomic.fna","aeruginosa",""
"aeruginosa",99.3439,"GCF_000790425.1_AZPAE14875_genomic.fna","aeruginosa",""
"aeruginosa",99.3438,"GCF_000824245.1_LES_CF_sputum_CF03_contigs_31_a1_genomic.fna","aeruginosa",""
"aeruginosa",99.3437,"GCF_000823925.1_LES_CF_sputum_CF03_contigs_9_a1_genomic.fna","aeruginosa",""
"aeruginosa",99.3436,"GCF_000824005.1_LES_CF_sputum_CF03_contigs_14_a1_genomic.fna","aeruginosa",""
"aeruginosa",99.3432,"GCF_003411815.1_ASM341181v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3426,"GCF_002329845.1_ASM232984v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3425,"GCF_001449245.1_WH-SGI-V-07049_genomic.fna","aeruginosa",""
"aeruginosa",99.3423,"GCF_000583935.1_ASM58393v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3422,"GCF_002329805.1_ASM232980v1_genomic.fna","aeruginosa",""
"aeruginosa",99.342,"GCF_000823945.1_LES_CF_sputum_CF03_contigs_10_a1_genomic.fna","aeruginosa",""
"aeruginosa",99.342,"GCF_003332415.1_ASM333241v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3418,"GCF_003631315.1_ASM363131v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3418,"GCF_000824345.1_LES_CF_sputum_CF03_contigs_38_a1_genomic.fna","aeruginosa",""
"aeruginosa",99.3417,"GCF_000271985.2_ASM27198v2_genomic.fna","aeruginosa",""
"aeruginosa",99.3412,"GCF_000481005.1_Pseu_aeru_BL07_V1_genomic.fna","aeruginosa",""
"aeruginosa",99.3411,"GCF_000824045.1_LES_CF_sputum_CF03_contigs_17_a1_genomic.fna","aeruginosa",""
"aeruginosa",99.341,"GCF_000824145.1_LES_CF_sputum_CF03_contigs_24_a1_genomic.fna","aeruginosa",""
"aeruginosa",99.3405,"GCF_001454705.1_WH-SGI-V-07302_genomic.fna","aeruginosa",""
"aeruginosa",99.3405,"GCF_001077475.1_ASM107747v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3405,"GCF_000824585.1_LES_CF_sputum_CF03_contigs_30_a1_genomic.fna","aeruginosa",""
"aeruginosa",99.3405,"GCF_000480355.1_Pseu_aeru_CF614_V1_genomic.fna","aeruginosa",""
"aeruginosa",99.3404,"GCF_000791325.1_AZPAE14928_genomic.fna","aeruginosa",""
"aeruginosa",99.3403,"GCF_003411705.1_ASM341170v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3401,"GCF_000824305.1_LES_CF_sputum_CF03_contigs_35_a1_genomic.fna","aeruginosa",""
"aeruginosa",99.3397,"GCF_000481685.1_Pseu_aeru_BWH001_V1_genomic.fna","aeruginosa",""
"aeruginosa",99.3395,"GCF_000824685.1_LES_CF_sputum_CF03_contigs_37_a1_genomic.fna","aeruginosa",""
"aeruginosa",99.339,"GCF_000482025.1_Pseu_aeru_62_V1_genomic.fna","aeruginosa",""
"aeruginosa",99.3389,"GCF_000824225.1_LES_CF_sputum_CF03_contigs_29_a1_genomic.fna","aeruginosa",""
"aeruginosa",99.3386,"GCF_003629345.1_ASM362934v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3383,"GCF_000824105.1_LES_CF_sputum_CF03_contigs_21_a1_genomic.fna","aeruginosa",""
"aeruginosa",99.3383,"GCF_000824545.1_LES_CF_sputum_CF03_contigs_22_a1_genomic.fna","aeruginosa",""
"aeruginosa",99.3382,"GCF_000824085.1_LES_CF_sputum_CF03_contigs_20_a1_genomic.fna","aeruginosa",""
"aeruginosa",99.3382,"GCF_000714515.1_ASM71451v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3379,"GCF_001812145.1_ASM181214v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3379,"GCF_000824265.1_LES_CF_sputum_CF03_contigs_32_a1_genomic.fna","aeruginosa",""
"aeruginosa",99.3376,"GCF_003055265.1_ASM305526v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3375,"GCF_001453675.1_WH-SGI-V-07695_genomic.fna","aeruginosa",""
"aeruginosa",99.3374,"GCF_000824605.1_LES_CF_sputum_CF03_contigs_4_a1_genomic.fna","aeruginosa",""
"aeruginosa",99.3371,"GCF_000824385.1_LES_CF_sputum_CF03_contigs_40_a1_genomic.fna","aeruginosa",""
"aeruginosa",99.3369,"GCF_000793945.1_AZPAE14940_genomic.fna","aeruginosa",""
"aeruginosa",99.3369,"GCF_000824185.1_LES_CF_sputum_CF03_contigs_26_a1_genomic.fna","aeruginosa",""
"aeruginosa",99.3365,"GCF_000824025.1_LES_CF_sputum_CF03_contigs_16_a1_genomic.fna","aeruginosa",""
"aeruginosa",99.3365,"GCF_003698565.1_ASM369856v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3364,"GCF_000824505.1_LES_CF_sputum_CF03_contigs_15_a1_genomic.fna","aeruginosa",""
"aeruginosa",99.3363,"GCF_000795585.1_AZPAE13866_genomic.fna","aeruginosa",""
"aeruginosa",99.3354,"GCF_000824125.1_LES_CF_sputum_CF03_contigs_23_a1_genomic.fna","aeruginosa",""
"aeruginosa",99.3353,"GCF_000824165.1_LES_CF_sputum_CF03_contigs_25_a1_genomic.fna","aeruginosa",""
"aeruginosa",99.335,"GCF_000789755.1_AZPAE14847_genomic.fna","aeruginosa",""
"aeruginosa",99.335,"GCF_000820805.1_PAWS136_genomic.fna","aeruginosa",""
"aeruginosa",99.3349,"GCF_000520375.1_Pseu_aeru_BWHPSA041_V1_genomic.fna","aeruginosa",""
"aeruginosa",99.3349,"GCF_000823985.1_LES_CF_sputum_CF03_contigs_13_a1_genomic.fna","aeruginosa",""
"aeruginosa",99.3347,"GCF_003411095.1_ASM341109v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3346,"GCF_001450435.1_WH-SGI-V-07061_genomic.fna","aeruginosa",""
"aeruginosa",99.3346,"GCF_000824465.1_LES_CF_sputum_CF03_contigs_5_a1_genomic.fna","aeruginosa",""
"aeruginosa",99.3342,"GCF_002326505.1_ASM232650v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3341,"GCF_001420185.1_ASM142018v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3339,"GCF_002332175.1_ASM233217v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3338,"GCF_000824485.1_LES_CF_sputum_CF03_contigs_6_a1_genomic.fna","aeruginosa",""
"aeruginosa",99.3336,"GCF_000481025.1_Pseu_aeru_BL06_V1_genomic.fna","aeruginosa",""
"aeruginosa",99.3329,"GCF_003319235.1_ASM331923v1_genomic.fna","aeruginosa",""
"aeruginosa",99.332,"GCF_000583975.1_ASM58397v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3318,"GCF_001449835.1_WH-SGI-V-07225_genomic.fna","aeruginosa",""
"aeruginosa",99.3317,"GCF_000791565.1_AZPAE15032_genomic.fna","aeruginosa",""
"aeruginosa",99.3316,"GCF_001836625.1_ASM183662v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3309,"GCF_001076225.1_ASM107622v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3306,"GCF_000481865.1_Pseu_aeru_X24509_V1_genomic.fna","aeruginosa",""
"aeruginosa",99.3305,"GCF_001910425.1_ASM191042v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3303,"GCF_001454665.1_WH-SGI-V-07673_genomic.fna","aeruginosa",""
"aeruginosa",99.3303,"GCF_000026645.1_ASM2664v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3301,"GCF_003000695.1_ASM300069v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3301,"GCF_001067965.1_ASM106796v1_genomic.fna","aeruginosa",""
"aeruginosa",99.33,"GCF_000629485.1_Pseu_aeru_BWH055_V1_genomic.fna","aeruginosa",""
"aeruginosa",99.3299,"GCF_000629165.1_Pseu_aeru_3581_V1_genomic.fna","aeruginosa",""
"aeruginosa",99.3298,"GCF_002312455.1_ASM231245v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3298,"GCF_000223965.1_ASM22396v2_genomic.fna","aeruginosa",""
"aeruginosa",99.3294,"GCF_000824285.1_LES_CF_sputum_CF03_contigs_33_a1_genomic.fna","aeruginosa",""
"aeruginosa",99.3294,"GCF_001068395.1_ASM106839v1_genomic.fna","aeruginosa",""
"aeruginosa",99.329,"GCF_001449985.1_WH-SGI-V-07235_genomic.fna","aeruginosa",""
"aeruginosa",99.3289,"GCF_001454585.1_WH-SGI-V-07708_genomic.fna","aeruginosa",""
"aeruginosa",99.3288,"GCF_003629115.1_ASM362911v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3286,"GCF_000629405.1_Pseu_aeru_BWH059_V1_genomic.fna","aeruginosa",""
"aeruginosa",99.3285,"GCF_000481565.1_Pseu_aeru_BWH007_V1_genomic.fna","aeruginosa",""
"aeruginosa",99.3282,"GCF_002193835.1_ASM219383v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3281,"GCF_002330385.1_ASM233038v1_genomic.fna","aeruginosa",""
"aeruginosa",99.328,"GCF_002021645.1_ASM202164v1_genomic.fna","aeruginosa",""
"aeruginosa",99.328,"GCF_000223945.1_ASM22394v2_genomic.fna","aeruginosa",""
"aeruginosa",99.328,"GCF_002116945.1_ASM211694v1_genomic.fna","aeruginosa",""
"aeruginosa",99.3275,"GCF_000794045.1_AZPAE14947_genomic.fna","aeruginosa",""
"aeruginosa",99.3275,"GCF_000789975.1_AZPAE14910_genomic.fna","aeruginosa",""
"aeruginosa",99.3275,"GCF_000790285.1_AZPAE15046_genomic.fna","aeruginosa",""
"aeruginosa",99.3273,"GCF_003698795.1_ASM369879v1_genomic.fna","aeruginosa",""
