query,subject,ani,matches,total
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001453755.1_WH-SGI-V-07705_genomic.fna,99.4703,2029,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003347525.1_ASM334752v1_genomic.fna,99.47,2019,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001471355.1_ASM147135v2_genomic.fna,99.4685,2004,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003611395.1_ASM361139v1_genomic.fna,99.4668,1988,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000478485.2_Pseu_sp_P179_V1_genomic.fna,99.4653,2045,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003411745.1_ASM341174v1_genomic.fna,99.4647,1982,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001756355.1_ASM175635v1_genomic.fna,99.4642,2037,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000789605.1_AZPAE14841_genomic.fna,99.4639,2015,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000790215.1_AZPAE14867_genomic.fna,99.4635,1993,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003628865.1_ASM362886v1_genomic.fna,99.463,1931,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000792925.1_AZPAE15013_genomic.fna,99.462,2006,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003611335.1_ASM361133v1_genomic.fna,99.4566,1985,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003611355.1_ASM361135v1_genomic.fna,99.4564,1988,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_002188695.1_ASM218869v1_genomic.fna,99.4531,1999,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003055275.1_ASM305527v1_genomic.fna,99.4528,2016,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003628805.1_ASM362880v1_genomic.fna,99.4524,1968,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001454125.1_WH-SGI-V-07290_genomic.fna,99.4514,2029,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_002326365.1_ASM232636v1_genomic.fna,99.4488,2010,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001451335.1_WH-SGI-V-07409_genomic.fna,99.4484,2032,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_002194095.1_ASM219409v1_genomic.fna,99.4482,2007,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_002964255.1_ASM296425v1_genomic.fna,99.4444,2004,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000796175.1_AZPAE14410_genomic.fna,99.4423,2009,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000750905.1_PSE305_genomic.fna,99.4382,2047,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001909655.1_ASM190965v1_genomic.fna,99.4334,1971,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003410745.1_ASM341074v1_genomic.fna,99.4333,1952,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_002021635.2_ASM202163v2_genomic.fna,99.4319,1737,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003325515.1_ASM332551v1_genomic.fna,99.4274,1949,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003411805.1_ASM341180v1_genomic.fna,99.4259,1960,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000791155.1_AZPAE14904_genomic.fna,99.4154,1975,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000792675.1_AZPAE15001_genomic.fna,99.4154,2010,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003628935.1_ASM362893v1_genomic.fna,99.4105,1987,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_002021605.1_ASM202160v1_genomic.fna,99.4086,1879,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003325715.1_ASM332571v1_genomic.fna,99.399,1957,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003628985.1_ASM362898v1_genomic.fna,99.3961,1963,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_002794745.1_ASM279474v1_genomic.fna,99.3906,1879,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001452605.1_WH-SGI-V-07697_genomic.fna,99.3902,2005,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000481385.1_Pseu_aeru_BWH016_V1_genomic.fna,99.3876,2031,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003630525.1_ASM363052v1_genomic.fna,99.3875,1966,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003629755.1_ASM362975v1_genomic.fna,99.3869,2007,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003055405.1_ASM305540v1_genomic.fna,99.3857,2006,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003698395.1_ASM369839v1_genomic.fna,99.3847,2020,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001452415.1_WH-SGI-V-07681_genomic.fna,99.3833,2010,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003411985.1_ASM341198v1_genomic.fna,99.38,1988,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001453735.1_WH-SGI-V-07701_genomic.fna,99.3777,1997,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000480765.1_Pseu_aeru_BL19_V1_genomic.fna,99.3773,2033,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001450665.1_WH-SGI-V-07224_genomic.fna,99.3772,2008,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001450005.1_WH-SGI-V-07237_genomic.fna,99.37700000000001,1997,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001451025.1_WH-SGI-V-07390_genomic.fna,99.3761,2000,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000797325.1_AZPAE12422_genomic.fna,99.3759,1970,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001452725.1_WH-SGI-V-07706_genomic.fna,99.3751,2009,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003628945.1_ASM362894v1_genomic.fna,99.3748,1937,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000480905.1_Pseu_aeru_BL12_V1_genomic.fna,99.3747,2036,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001518975.1_ASM151897v1_genomic.fna,99.3741,2044,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001450825.1_WH-SGI-V-07371_genomic.fna,99.3738,2001,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_002326435.1_ASM232643v1_genomic.fna,99.3736,1977,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003411905.1_ASM341190v1_genomic.fna,99.3725,1965,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001452615.1_WH-SGI-V-07699_genomic.fna,99.3724,2002,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001451015.1_WH-SGI-V-07389_genomic.fna,99.3714,2005,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001450085.1_WH-SGI-V-07244_genomic.fna,99.37100000000001,2006,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000796385.1_AZPAE14499_genomic.fna,99.3709,1981,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_002005755.1_ASM200575v1_genomic.fna,99.3702,1935,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001449165.1_WH-SGI-V-07057_genomic.fna,99.3702,2004,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001453025.1_WH-SGI-V-07267_genomic.fna,99.3668,1921,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000480685.1_Pseu_aeru_BL23_V1_genomic.fna,99.3665,2036,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001554695.1_ASM155469v1_genomic.fna,99.3664,1994,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000287815.1_ASM28781v2_genomic.fna,99.3664,1886,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001451255.1_WH-SGI-V-07388_genomic.fna,99.3653,1998,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001013395.1_ASM101339v1_genomic.fna,99.3652,1983,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000797055.1_AZPAE12411_genomic.fna,99.36399999999999,1998,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_002001235.1_ASM200123v1_genomic.fna,99.3637,1982,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000481845.1_Pseu_aeru_UDL_V1_genomic.fna,99.3636,2034,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_002193895.1_ASM219389v1_genomic.fna,99.3633,1979,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001554705.1_ASM155470v1_genomic.fna,99.3627,1995,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001451265.1_WH-SGI-V-07404_genomic.fna,99.3623,2000,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000647635.1_PseAerIGB83_1.0_genomic.fna,99.3622,1901,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003410805.1_ASM341080v1_genomic.fna,99.3618,1959,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001619935.1_ASM161993v1_genomic.fna,99.3617,1985,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001554735.1_ASM155473v1_genomic.fna,99.3617,1994,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001452915.1_WH-SGI-V-07254_genomic.fna,99.3612,2004,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003055445.1_ASM305544v1_genomic.fna,99.3609,2010,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000794335.1_AZPAE14838_genomic.fna,99.3604,1998,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000478465.2_Pseu_aeru_Stone_130_V1_genomic.fna,99.3604,2035,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000794175.1_AZPAE14831_genomic.fna,99.3602,1972,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_002193925.1_ASM219392v1_genomic.fna,99.3591,1986,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003410645.1_ASM341064v1_genomic.fna,99.3589,1948,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000796085.1_AZPAE14402_genomic.fna,99.3569,2005,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000824445.1_LES_CF_sputum_CF03_contigs_3_a1_genomic.fna,99.3565,1979,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000792045.1_AZPAE15044_genomic.fna,99.3558,1978,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_002330125.1_ASM233012v1_genomic.fna,99.3556,1979,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_002329965.1_ASM232996v1_genomic.fna,99.3552,1979,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000824665.1_LES_CF_sputum_CF03_contigs_34_a1_genomic.fna,99.3542,1984,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000796525.1_AZPAE12138_genomic.fna,99.354,1959,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001450795.1_WH-SGI-V-07246_genomic.fna,99.3539,2008,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003411285.1_ASM341128v1_genomic.fna,99.3536,1942,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003629485.1_ASM362948v1_genomic.fna,99.3534,1973,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003411555.1_ASM341155v1_genomic.fna,99.3533,1944,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_002329815.1_ASM232981v1_genomic.fna,99.3532,1986,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000792625.1_AZPAE14998_genomic.fna,99.3529,1988,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000823965.1_LES_CF_sputum_CF03_contigs_11_a1_genomic.fna,99.3528,1983,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000794745.1_AZPAE14701_genomic.fna,99.3526,1916,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001554745.1_ASM155474v1_genomic.fna,99.3524,1993,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001450045.1_WH-SGI-V-07240_genomic.fna,99.3523,1986,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001555225.1_ASM155522v1_genomic.fna,99.3514,1975,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000793255.1_AZPAE15060_genomic.fna,99.3513,1959,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000824625.1_LES_CF_sputum_CF03_contigs_7_a1_genomic.fna,99.3511,1982,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000824065.1_LES_CF_sputum_CF03_contigs_18_a1_genomic.fna,99.3507,1983,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000583955.1_ASM58395v1_genomic.fna,99.3503,2006,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000481525.1_Pseu_aeru_BWH009_V1_genomic.fna,99.3499,2027,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001909795.1_ASM190979v1_genomic.fna,99.3496,1891,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000583915.1_ASM58391v1_genomic.fna,99.3491,2002,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000583995.1_ASM58399v1_genomic.fna,99.3487,1998,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000824425.1_LES_CF_sputum_CF03_contigs_2_a1_genomic.fna,99.3485,1983,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000583895.1_ASM58389v1_genomic.fna,99.3483,2006,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_002194075.1_ASM219407v1_genomic.fna,99.3482,1969,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000824565.1_LES_CF_sputum_CF03_contigs_27_a1_genomic.fna,99.3478,1985,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000824405.1_LES_CF_sputum_CF03_contigs_1_a1_genomic.fna,99.3477,1983,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001449425.1_WH-SGI-V-07069_genomic.fna,99.3476,1998,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001449365.1_WH-SGI-V-07051_genomic.fna,99.3472,1999,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000824645.1_LES_CF_sputum_CF03_contigs_12_a1_genomic.fna,99.3471,1985,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000508765.1_ASM50876v1_genomic.fna,99.3469,2008,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_002329975.1_ASM232997v1_genomic.fna,99.3468,1979,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000824365.1_LES_CF_sputum_CF03_contigs_39_a1_genomic.fna,99.3463,1982,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000824525.1_LES_CF_sputum_CF03_contigs_19_a1_genomic.fna,99.3461,1986,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000824205.1_LES_CF_sputum_CF03_contigs_28_a1_genomic.fna,99.346,1979,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001444815.1_ASM144481v1_genomic.fna,99.346,1949,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000795985.1_AZPAE14390_genomic.fna,99.3455,1994,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001451575.1_WH-SGI-V-07485_genomic.fna,99.3455,2010,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003410855.1_ASM341085v1_genomic.fna,99.3455,1942,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000751715.1_HGAP_corrected_genomic.fna,99.3452,2032,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_002193685.1_ASM219368v1_genomic.fna,99.3452,1979,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003073795.1_ASM307379v1_genomic.fna,99.3452,2022,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000794455.1_AZPAE14570_genomic.fna,99.3449,1980,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_002914495.1_ASM291449v1_genomic.fna,99.3449,2033,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000789545.1_AZPAE14918_genomic.fna,99.3449,1987,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000824325.1_LES_CF_sputum_CF03_contigs_36_a1_genomic.fna,99.3445,1985,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000823905.1_LES_CF_sputum_CF03_contigs_8_a1_genomic.fna,99.3443,1983,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000790425.1_AZPAE14875_genomic.fna,99.3439,1973,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000824245.1_LES_CF_sputum_CF03_contigs_31_a1_genomic.fna,99.3438,1983,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000823925.1_LES_CF_sputum_CF03_contigs_9_a1_genomic.fna,99.3437,1983,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000824005.1_LES_CF_sputum_CF03_contigs_14_a1_genomic.fna,99.3436,1981,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003411815.1_ASM341181v1_genomic.fna,99.3432,1907,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_002329845.1_ASM232984v1_genomic.fna,99.3426,1987,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001449245.1_WH-SGI-V-07049_genomic.fna,99.3425,2010,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000583935.1_ASM58393v1_genomic.fna,99.3423,2007,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_002329805.1_ASM232980v1_genomic.fna,99.3422,1990,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000823945.1_LES_CF_sputum_CF03_contigs_10_a1_genomic.fna,99.34200000000001,1984,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003332415.1_ASM333241v1_genomic.fna,99.34200000000001,1976,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003631315.1_ASM363131v1_genomic.fna,99.3418,1982,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000824345.1_LES_CF_sputum_CF03_contigs_38_a1_genomic.fna,99.3418,1980,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000271985.2_ASM27198v2_genomic.fna,99.3417,2023,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000481005.1_Pseu_aeru_BL07_V1_genomic.fna,99.3412,2017,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000824045.1_LES_CF_sputum_CF03_contigs_17_a1_genomic.fna,99.3411,1983,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000824145.1_LES_CF_sputum_CF03_contigs_24_a1_genomic.fna,99.34100000000001,1985,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001454705.1_WH-SGI-V-07302_genomic.fna,99.3405,1995,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001077475.1_ASM107747v1_genomic.fna,99.3405,2031,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000824585.1_LES_CF_sputum_CF03_contigs_30_a1_genomic.fna,99.3405,1980,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000480355.1_Pseu_aeru_CF614_V1_genomic.fna,99.3405,2033,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000791325.1_AZPAE14928_genomic.fna,99.3404,1994,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003411705.1_ASM341170v1_genomic.fna,99.3403,1944,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000824305.1_LES_CF_sputum_CF03_contigs_35_a1_genomic.fna,99.3401,1985,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000481685.1_Pseu_aeru_BWH001_V1_genomic.fna,99.3397,2023,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000824685.1_LES_CF_sputum_CF03_contigs_37_a1_genomic.fna,99.3395,1983,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000482025.1_Pseu_aeru_62_V1_genomic.fna,99.339,2020,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000824225.1_LES_CF_sputum_CF03_contigs_29_a1_genomic.fna,99.3389,1985,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003629345.1_ASM362934v1_genomic.fna,99.3386,1988,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000824105.1_LES_CF_sputum_CF03_contigs_21_a1_genomic.fna,99.3383,1986,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000824545.1_LES_CF_sputum_CF03_contigs_22_a1_genomic.fna,99.3383,1986,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000824085.1_LES_CF_sputum_CF03_contigs_20_a1_genomic.fna,99.3382,1985,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000714515.1_ASM71451v1_genomic.fna,99.3382,2077,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001812145.1_ASM181214v1_genomic.fna,99.3379,1972,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000824265.1_LES_CF_sputum_CF03_contigs_32_a1_genomic.fna,99.3379,1984,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003055265.1_ASM305526v1_genomic.fna,99.3376,2010,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001453675.1_WH-SGI-V-07695_genomic.fna,99.3375,1992,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000824605.1_LES_CF_sputum_CF03_contigs_4_a1_genomic.fna,99.3374,1983,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000824385.1_LES_CF_sputum_CF03_contigs_40_a1_genomic.fna,99.3371,1984,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000793945.1_AZPAE14940_genomic.fna,99.3369,1964,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000824185.1_LES_CF_sputum_CF03_contigs_26_a1_genomic.fna,99.3369,1984,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000824025.1_LES_CF_sputum_CF03_contigs_16_a1_genomic.fna,99.3365,1986,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003698565.1_ASM369856v1_genomic.fna,99.3365,1993,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000824505.1_LES_CF_sputum_CF03_contigs_15_a1_genomic.fna,99.3364,1986,2088
