"filename","cleaned_filename","sseqid","stitle","mismatch","positive","gaps","ppos","pident","qcovs","evalue","bitscore","qseqid","mod_species","ani","clade","fabv_pa"
"GCF_000219605.1_ASM21960v1_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stutzeri",100,"stutzeri",0
"GCF_000222125.1_ASM22212v2_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"segetis",98.8781,"anguilliseptica",0
"GCF_000223925.1_ASM22392v2_genomic.fna","1_AFXI01000002","1_AFXI01000002_03474","unannotated protein",0,398,0,100,100,100,0,815,"pao1_fabv","aeruginosa",99.2942,"aeruginosa",1
"GCF_000223945.1_ASM22394v2_genomic.fna","1_AFXJ01000001","1_AFXJ01000001_03395","unannotated protein",0,398,0,100,100,100,0,815,"pao1_fabv","aeruginosa",99.328,"aeruginosa",1
"GCF_000223965.1_ASM22396v2_genomic.fna","1_AFXK01000001","1_AFXK01000001_03420","unannotated protein",0,398,0,100,100,100,0,815,"pao1_fabv","aeruginosa",99.3298,"aeruginosa",1
"GCF_000226155.1_ASM22615v1_genomic.fna","1_017548","1_017548_02044","unannotated protein",0,398,0,100,100,100,0,815,"pao1_fabv","aeruginosa",99.3087,"aeruginosa",1
"GCF_000233495.1_Pseudomonas_sp_2_1_26_V1_genomic.fna","1_JH376461","1_JH376461_01267","unannotated protein",0,398,0,100,100,100,0,815,"pao1_fabv","aeruginosa",98.7008,"aeruginosa",1
"GCF_000236825.1_ASM23682v2_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"oryzihabitans_group",96.9401,"oryzihabitans",0
"GCF_000237065.1_ASM23706v1_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"brassicacearum_group",96.0602,"fluorescens",0
"GCF_000242115.1_Pext14-3B_1.0_genomic.fna","36_AHIP01000135","36_AHIP01000135_01718","unannotated protein",96,347,1,87.19,75.628,100,0,625,"pao1_fabv","extremaustralis",99.9664,"fluorescens",1
"GCF_000245395.1_ASM24539v1_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"avellanae",97.1879,"syringae",0
"GCF_000245475.1_ASM24547v1_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"avellanae",97.3755,"syringae",0
"GCF_000247435.1_ASM24743v2_genomic.fna","1_AHKM01000140","1_AHKM01000140_02362","unannotated protein",0,398,0,100,100,100,0,815,"pao1_fabv","aeruginosa",99.9575,"aeruginosa",1
"GCF_000250615.1_ASM25061v1_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fragi",99.9418,"fluorescens",0
"GCF_000251185.1_ASM25118v1_genomic.fna","29_JH605124","29_JH605124_01162","unannotated protein",78,350,0,87.94,80.402,100,0,658,"pao1_fabv","asplenii_group",98.8291,"fluorescens",1
"GCF_000257545.3_ASM25754v3_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mandelii",98.6872,"fluorescens",0
"GCF_000257625.1_ASM25762v1_genomic.fna","9_JH635997","9_JH635997_04057","unannotated protein",99,346,1,86.93,74.874,100,0,619,"pao1_fabv","simiae",99.3843,"fluorescens",1
"GCF_000258285.1_ASM25828v1_genomic.fna","1_AJKG01000001","1_AJKG01000001_05233","unannotated protein",0,398,0,100,100,100,0,815,"pao1_fabv","aeruginosa",99.222,"aeruginosa",1
"GCF_000259025.1_ASM25902v1_genomic.fna","1_AJHI01000001","1_AJHI01000001_05051","unannotated protein",0,398,0,100,100,100,0,815,"pao1_fabv","aeruginosa",99.231,"aeruginosa",1
"GCF_000259195.1_LF10417_PSEudwD_genomic.fna","67_JH650757","67_JH650757_02728","unannotated protein",151,301,7,76.2,60,98,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000262,461,"pao1_fabv","donghuensis",100,"putida",1
"GCF_000262005.1_ASM26200v1_genomic.fna","34_AHGZ01000001","34_AHGZ01000001_02674","unannotated protein",151,309,5,78.03,60.606,98,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000248,474,"pao1_fabv","monteilii",99.3383,"putida",1
"GCF_000263695.1_ASM26369v2_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"brassicacearum_group",99.9486,"fluorescens",0
"GCF_000264555.1_ASM26455v1_genomic.fna","16_CM001490","16_CM001490_02772","unannotated protein",83,356,0,89.67,79.093,99,0,662,"pao1_fabv","chlororaphis",95.1458,"fluorescens",1
"GCF_000265035.1_ASM26503v1_genomic.fna","1_AJXX01000001","1_AJXX01000001_00920","unannotated protein",1,398,0,100,99.749,100,0,813,"pao1_fabv","aeruginosa",99.2386,"aeruginosa",1
"GCF_000267545.1_ASM26754v1_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chloritidismutans_group",96.7697,"stutzeri",0
"GCF_000271365.1_ASM27136v1_genomic.fna","1_018080","1_018080_01915","unannotated protein",0,398,0,100,100,100,0,815,"pao1_fabv","aeruginosa",99.2634,"aeruginosa",1
"GCF_000271985.2_ASM27198v2_genomic.fna","1_CP015877","1_CP015877_04613","unannotated protein",0,398,0,100,100,100,0,815,"pao1_fabv","aeruginosa",99.3417,"aeruginosa",1
"GCF_000275945.1_ASM27594v1_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amygdali_group",98.6121,"syringae",0
"GCF_000276565.1_ASM27656v1_genomic.fna","83_AJXG01000001","83_AJXG01000001_02805","unannotated protein",99,345,1,86.68,74.874,100,0,618,"pao1_fabv","tolaasii",99.8365,"fluorescens",1
"GCF_000280555.1_ASM28055v1_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stutzeri",97.6569,"stutzeri",0
"GCF_000280575.1_ASM28057v1_genomic.fna","29_ALAQ01000001","29_ALAQ01000001_05837","unannotated protein",79,349,0,87.69,80.151,100,0,655,"pao1_fabv","asplenii_group",99.8829,"fluorescens",1
"GCF_000280785.1_ASM28078v1_genomic.fna","197_AKBQ01000001","197_AKBQ01000001_04578","unannotated protein",81,349,0,87.69,79.648,100,0,649,"pao1_fabv","agarici",99.2509,"fluorescens",1
"GCF_000281915.1_ASM28191v1_genomic.fna","16_CM001559","16_CM001559_02682","unannotated protein",83,356,0,89.67,79.093,99,0,662,"pao1_fabv","chlororaphis",97.2112,"fluorescens",1
"GCF_000282175.1_Pseudomonas.strGM17_v1.0_genomic.fna","9_AKJU01000001","9_AKJU01000001_00245","unannotated protein",82,356,0,89.67,79.345,99,0,663,"pao1_fabv","chlororaphis",97.6067,"fluorescens",1
"GCF_000282735.1_ASM28273v1_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"syringae",98.032,"syringae",0
"GCF_000282915.1_MWR44.1-1.0_genomic.fna","1_ALBW01000001","1_ALBW01000001_00928","unannotated protein",0,398,0,100,100,100,0,815,"pao1_fabv","aeruginosa",99.9774,"aeruginosa",1
"GCF_000282955.1_ASM28295v1_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stutzeri",97.8944,"stutzeri",0
"GCF_000284555.1_ASM28455v1_genomic.fna","1_017549","1_017549_04002","unannotated protein",1,397,0,99.75,99.749,100,0,812,"pao1_fabv","aeruginosa",98.7271,"aeruginosa",1
"GCF_000285395.1_ASM28539v1_genomic.fna","24_CAED01000262","24_CAED01000262_01517","unannotated protein",151,309,5,78.03,60.606,98,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000215,474,"pao1_fabv","monteilii",97.9494,"putida",1
"GCF_000285955.1_ASM28595v1_genomic.fna","11_X01000090","11_X01000090_04470","unannotated protein",83,356,0,89.67,79.093,99,0,664,"pao1_fabv","protegens",98.7778,"fluorescens",1
"GCF_000287815.1_ASM28781v2_genomic.fna","1_ALBV02000235","1_ALBV02000235_03551","unannotated protein",0,398,0,100,100,100,0,815,"pao1_fabv","aeruginosa",99.3664,"aeruginosa",1
"GCF_000287875.1_AH16_genomic.fna","1_ALJH01000001","1_ALJH01000001_04775","unannotated protein",0,398,0,100,100,100,0,815,"pao1_fabv","aeruginosa",99.232,"aeruginosa",1
"GCF_000291745.1_ASM29174v1_genomic.fna","1_DF126593","1_DF126593_03493","unannotated protein",0,398,0,100,100,100,0,815,"pao1_fabv","aeruginosa",99.2549,"aeruginosa",1
"GCF_000296325.1_PAO579-1.0_genomic.fna","1_ALOF01000001","1_ALOF01000001_02855","unannotated protein",0,398,0,100,100,100,0,815,"pao1_fabv","aeruginosa",99.9947,"aeruginosa",1
"GCF_000297075.2_Ppseudo_final_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"oleovorans_group",97.4394,"oleovorans",0
"GCF_000297275.1_ASM29727v1_genomic.fna","1_AKZD01000001","1_AKZD01000001_02537","unannotated protein",0,398,0,100,100,100,0,815,"pao1_fabv","aeruginosa",99.2069,"aeruginosa",1
"GCF_000297335.1_ASM29733v1_genomic.fna","1_AKZG01000001","1_AKZG01000001_02113","unannotated protein",0,398,0,100,100,100,0,815,"pao1_fabv","aeruginosa",98.7044,"aeruginosa",1
"GCF_000297355.1_ASM29735v1_genomic.fna","1_AKZH01000001","1_AKZH01000001_01952","unannotated protein",1,398,0,100,99.749,100,0,813,"pao1_fabv","aeruginosa",99.2846,"aeruginosa",1
"GCF_000302795.1_Pav013_1.0_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"syringae",96.3133,"syringae",0
"GCF_000302815.1_Pav037_1.0_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"syringae",96.2863,"syringae",0
"GCF_000302915.1_Pav631_1.0_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"avellanae",99.7313,"syringae",0
"GCF_000307715.1_PseVir1.0_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"viridiflava",99.9439,"syringae",0
"GCF_000313235.1_PAMC26508ASM01_genomic.fna","9_AMXG01000001","9_AMXG01000001_02559","unannotated protein",100,346,1,86.93,74.623,100,0,619,"pao1_fabv","yamanorum",96.4248,"fluorescens",1
"GCF_000317185.3_M1_v2.0_genomic.fna","9_ANIR02000004","9_ANIR02000004_00756","unannotated protein",61,375,0,94.46,84.635,99,0,713,"pao1_fabv","citronellolis_group",97.0668,"aeruginosa",1
"GCF_000319815.1_Psalc341.0_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"alcaliphila_group",98.2429,"oleovorans",0
"GCF_000331385.1_PSSB64v1.0_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"syringae",98.0296,"syringae",0
"GCF_000334015.1_BRIP34879v2.0_genomic.fna","11_KB316322","11_KB316322_03078","unannotated protein",98,346,1,86.93,75.126,100,0,618,"pao1_fabv","poae",98.7632,"fluorescens",1
"GCF_000334035.1_34876_v2.0_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"syringae",98.0175,"syringae",0
"GCF_000334055.1_34881_v2.0_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"syringae",97.9817,"syringae",0
"GCF_000336465.1_ASM33646v1_genomic.fna","49_020209","49_020209_00897","unannotated protein",98,346,1,86.93,75.126,100,0,618,"pao1_fabv","poae",98.736,"fluorescens",1
"GCF_000341565.1_ASM34156v1_genomic.fna","1_CAQZ01000179","1_CAQZ01000179_03949","unannotated protein",0,398,0,100,100,100,0,815,"pao1_fabv","aeruginosa",99.108,"aeruginosa",1
"GCF_000342145.1_PA_21_ST175v1_genomic.fna","1_AOIH01000001","1_AOIH01000001_04054","unannotated protein",0,398,0,100,100,100,0,815,"pao1_fabv","aeruginosa",99.2799,"aeruginosa",1
"GCF_000344335.2_ASM34433v2_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"avellanae",97.2583,"syringae",0
"GCF_000344355.2_ASM34435v2_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"avellanae",97.277,"syringae",0
"GCF_000344395.1_ICMP18804v1.0_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"avellanae",97.4796,"syringae",0
"GCF_000344415.1_ICMP18806v1.0_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"avellanae",97.4912,"syringae",0
"GCF_000344475.3_ASM34447v3_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"avellanae",97.2948,"syringae",0
"GCF_000344535.1_ICMP18807v1.0_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"avellanae",97.4801,"syringae",0
"GCF_000350565.1_P.ver1YdBTEX2v.1_genomic.fna","48_AOUH01000001","48_AOUH01000001_04697","unannotated protein",96,346,1,86.93,75.628,100,0,623,"pao1_fabv","panacis",98.4435,"none",1
"GCF_000359505.1_ASM35950v1_genomic.fna","1_020912","1_020912_01990","unannotated protein",1,398,0,100,99.749,100,0,813,"pao1_fabv","aeruginosa",98.733,"aeruginosa",1
"GCF_000359565.1_PA45_genomic.fna","1_APMD01000001","1_APMD01000001_02196","unannotated protein",0,398,0,100,100,100,0,815,"pao1_fabv","aeruginosa",99.2379,"aeruginosa",1
"GCF_000364625.1_ASM36462v1_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermotolerans",100,"none",0
"GCF_000397205.1_ASM39720v1_genomic.fna","47_021237","47_021237_03339","unannotated protein",83,356,0,89.67,79.093,99,0,664,"pao1_fabv","protegens",100,"fluorescens",1
"GCF_000404265.1_Pseu_aeru_PA14_V1_genomic.fna","1_KE136335","1_KE136335_02954","unannotated protein",0,398,0,100,100,100,0,815,"pao1_fabv","aeruginosa",98.7409,"aeruginosa",1
"GCF_000407905.1_Pseu_aeru_MSH-10_V1_genomic.fna","1_KE138672","1_KE138672_01327","unannotated protein",0,398,0,100,100,100,0,815,"pao1_fabv","aeruginosa",99.2379,"aeruginosa",1
"GCF_000408865.1_Pseu_aeru_PAK_V1_genomic.fna","1_KE137323","1_KE137323_02217","unannotated protein",0,398,0,100,100,100,0,815,"pao1_fabv","aeruginosa",99.3081,"aeruginosa",1
"GCF_000408945.1_ASM40894v1_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"umsongensis",99.1854,"fluorescens",0
"GCF_000411615.1_Pput2.5_genomic.fna","24_AMZE01000001","24_AMZE01000001_01725","unannotated protein",156,308,5,77.78,59.343,98,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000162,482,"pao1_fabv","guariconensis",99.1934,"putida",1
"GCF_000412165.1_PSSSMv1.0_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"syringae",97.9026,"syringae",0
"GCF_000412395.1_E_2_genomic.fna","1_ASQV01000001","1_ASQV01000001_01189","unannotated protein",1,397,0,99.75,99.749,100,0,812,"pao1_fabv","aeruginosa",98.6844,"aeruginosa",1
"GCF_000412555.1_C_1426_genomic.fna","1_ASRD01000001","1_ASRD01000001_02010","unannotated protein",0,398,0,100,100,100,0,815,"pao1_fabv","aeruginosa",99.2416,"aeruginosa",1
"GCF_000412675.1_ASM41267v1_genomic.fna","24_021505","24_021505_00719","unannotated protein",152,307,5,77.53,60.354,98,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000794,486,"pao1_fabv","putida",100,"putida",1
"GCF_000412715.1_ASM41271v1_genomic.fna","58_KE166371","58_KE166371_01132","unannotated protein",158,305,7,77.22,58.228,98,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000451,458,"pao1_fabv","plecoglossicida",99.78,"putida",1
"GCF_000414035.1_ASM41403v1_genomic.fna","1_021577","1_021577_03140","unannotated protein",0,398,0,100,100,100,0,815,"pao1_fabv","aeruginosa",99.2953,"aeruginosa",1
"GCF_000416155.1_ASM41615v1_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"psychrophila",99.2161,"fluorescens",0
"GCF_000416195.1_ASM41619v1_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"brassicacearum_group",98.8202,"fluorescens",0
"GCF_000416345.1_PstB1SMN1_1.0_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stutzeri",97.1215,"stutzeri",0
"GCF_000416545.1_ASM41654v1_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"avellanae",97.3876,"syringae",0
"GCF_000416805.1_ASM41680v1_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"avellanae",97.4734,"syringae",0
"GCF_000416885.1_ASM41688v1_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"avellanae",97.4425,"syringae",0
"GCF_000423545.1_ASM42354v1_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"resinovorans",100,"resinovorans",0
"GCF_000425765.1_ASM42576v1_genomic.fna","59_KE384443","59_KE384443_03958","unannotated protein",153,307,5,77.53,60.101,98,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000407,471,"pao1_fabv","parafulva",100,"putida",1
"GCF_000425785.1_ASM42578v1_genomic.fna","186_KE384450","186_KE384450_00892","unannotated protein",157,311,5,78.54,59.091,98,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000579,466,"pao1_fabv","taiwanensis",100,"putida",1
"GCF_000425805.1_ASM42580v1_genomic.fna","39_AUED01000001","39_AUED01000001_01389","unannotated protein",150,300,7,75.95,60.253,98,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000415,463,"pao1_fabv","vranovensis",100,"putida",1
"GCF_000439855.1_SOAPdenovo_genomic.fna","1_KE503212","1_KE503212_00945","unannotated protein",0,398,0,100,100,100,0,815,"pao1_fabv","aeruginosa",99.1858,"aeruginosa",1
"GCF_000439875.1_SOAPdenovo_genomic.fna","1_KE503223","1_KE503223_00712","unannotated protein",0,398,0,100,100,100,0,815,"pao1_fabv","aeruginosa",99.1958,"aeruginosa",1
"GCF_000444135.1_CLC6_0_3_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"avellanae",100,"syringae",0
"GCF_000452445.2_ASM45244v3_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"syringae",97.8662,"syringae",0
"GCF_000452465.1_Psy1212_130925_2.0_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"syringae",95.0314,"syringae",0
"GCF_000452485.1_TA043_042011_1.0_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"viridiflava",97.0414,"syringae",0
"GCF_000452505.1_CC1582_042011_1.0_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"viridiflava",96.6517,"syringae",0
"GCF_000452525.2_USA011_091113_2.0_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"syringae",95.0535,"syringae",0
"GCF_000452525.3_ASM45252v4_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"syringae",95.0209,"syringae",0
"GCF_000452585.1_CC457_092313_2.0_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"syringae",97.2498,"syringae",0
"GCF_000452605.1_CC440_0923_2.0_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"syringae",98.1361,"syringae",0
"GCF_000452625.1_CC1630_092313_2.0_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"avellanae",95.6549,"syringae",0
"GCF_000452645.1_CC1629_092313_2.0_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tremae",99.0001,"syringae",0
"GCF_000452765.1_CC1513_092313_2.0_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tremae",99.071,"syringae",0
"GCF_000452805.1_CC1458_092313_2.0_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"syringae",98.1074,"syringae",0
"GCF_000455425.1_B3-CFI_genomic.fna","1_CBMS010000001","1_CBMS010000001_03273","unannotated protein",0,398,0,100,100,100,0,815,"pao1_fabv","aeruginosa",99.2711,"aeruginosa",1
"GCF_000455505.1_B3-20M_genomic.fna","1_CBMU010000001","1_CBMU010000001_03490","unannotated protein",0,398,0,100,100,100,0,815,"pao1_fabv","aeruginosa",99.2446,"aeruginosa",1
"GCF_000455545.1_B3-1811_genomic.fna","1_CBMP010000001","1_CBMP010000001_03337","unannotated protein",0,398,0,100,100,100,0,815,"pao1_fabv","aeruginosa",99.3214,"aeruginosa",1
