"filename","fabv_pa","cleaned_filename","mod_species","type"
"GCF_000334015.1_BRIP34879v2.0_genomic.fna",1,"11_KB316322","poae",0
"GCF_000334035.1_34876_v2.0_genomic.fna",0,"0_KB316432","syringae",0
"GCF_000334055.1_34881_v2.0_genomic.fna",0,"0_KB316531","syringae",0
"GCF_000336465.1_ASM33646v1_genomic.fna",1,"49_020209","poae",0
"GCF_000341565.1_ASM34156v1_genomic.fna",1,"1_CAQZ01000179","aeruginosa",0
"GCF_000342145.1_PA_21_ST175v1_genomic.fna",1,"1_AOIH01000001","aeruginosa",0
"GCF_000344335.2_ASM34433v2_genomic.fna",0,"0_CP018202","avellanae",0
"GCF_000344355.2_ASM34435v2_genomic.fna",0,"0_CP012179","avellanae",0
"GCF_000344395.1_ICMP18804v1.0_genomic.fna",0,"0_ANJE01000001","avellanae",0
"GCF_000344415.1_ICMP18806v1.0_genomic.fna",0,"0_ANJF01000001","avellanae",0
"GCF_000344475.3_ASM34447v3_genomic.fna",0,"0_CP032631","avellanae",0
"GCF_000344535.1_ICMP18807v1.0_genomic.fna",0,"0_ANJL01000001","avellanae",0
"GCF_000350565.1_P.ver1YdBTEX2v.1_genomic.fna",1,"48_AOUH01000001","panacis",0
"GCF_000359505.1_ASM35950v1_genomic.fna",1,"1_020912","aeruginosa",0
"GCF_000359565.1_PA45_genomic.fna",1,"1_APMD01000001","aeruginosa",0
"GCF_000364625.1_ASM36462v1_genomic.fna",0,"12_KB822599","thermotolerans",1
"GCF_000397205.1_ASM39720v1_genomic.fna",1,"47_021237","protegens",1
"GCF_000404265.1_Pseu_aeru_PA14_V1_genomic.fna",1,"1_KE136335","aeruginosa",0
"GCF_000407905.1_Pseu_aeru_MSH-10_V1_genomic.fna",1,"1_KE138672","aeruginosa",0
"GCF_000408865.1_Pseu_aeru_PAK_V1_genomic.fna",1,"1_KE137323","aeruginosa",0
"GCF_000408945.1_ASM40894v1_genomic.fna",0,"9_APIO01000001","umsongensis",0
"GCF_000411615.1_Pput2.5_genomic.fna",1,"24_AMZE01000001","guariconensis",0
"GCF_000412165.1_PSSSMv1.0_genomic.fna",0,"0_CM001986","syringae",0
"GCF_000412395.1_E_2_genomic.fna",1,"1_ASQV01000001","aeruginosa",0
"GCF_000412555.1_C_1426_genomic.fna",1,"1_ASRD01000001","aeruginosa",0
"GCF_000412675.1_ASM41267v1_genomic.fna",1,"24_021505","putida",1
"GCF_000412715.1_ASM41271v1_genomic.fna",1,"58_KE166371","plecoglossicida",0
"GCF_000414035.1_ASM41403v1_genomic.fna",1,"1_021577","aeruginosa",0
"GCF_000416155.1_ASM41615v1_genomic.fna",0,"96_ATLR01000001","psychrophila",0
"GCF_000416195.1_ASM41619v1_genomic.fna",0,"9_ATLN01000001","brassicacearum_group",0
"GCF_000416345.1_PstB1SMN1_1.0_genomic.fna",0,"2_AMVM01000001","stutzeri",0
"GCF_000416545.1_ASM41654v1_genomic.fna",0,"0_AOKE01000001","avellanae",0
"GCF_000416805.1_ASM41680v1_genomic.fna",0,"0_AOKD01000001","avellanae",0
"GCF_000416885.1_ASM41688v1_genomic.fna",0,"0_AOJW01000001","avellanae",0
"GCF_000423545.1_ASM42354v1_genomic.fna",0,"136_AUIE01000001","resinovorans",1
"GCF_000425765.1_ASM42576v1_genomic.fna",1,"59_KE384443","parafulva",1
"GCF_000425785.1_ASM42578v1_genomic.fna",1,"186_KE384450","taiwanensis",1
"GCF_000425805.1_ASM42580v1_genomic.fna",1,"39_AUED01000001","vranovensis",1
"GCF_000439855.1_SOAPdenovo_genomic.fna",1,"1_KE503212","aeruginosa",0
"GCF_000439875.1_SOAPdenovo_genomic.fna",1,"1_KE503223","aeruginosa",0
"GCF_000444135.1_CLC6_0_3_genomic.fna",0,"46_ATDK01000001","avellanae",1
"GCF_000452445.2_ASM45244v3_genomic.fna",0,"0_CP034078","syringae",0
"GCF_000452465.1_Psy1212_130925_2.0_genomic.fna",0,"0_AVCR02000338","syringae",0
"GCF_000452485.1_TA043_042011_1.0_genomic.fna",0,"4_AVDV01000001","viridiflava",0
"GCF_000452505.1_CC1582_042011_1.0_genomic.fna",0,"4_KE692013","viridiflava",0
"GCF_000452525.2_USA011_091113_2.0_genomic.fna",0,"0_X02000198","syringae",0
"GCF_000452525.3_ASM45252v4_genomic.fna",0,"0_CP045799","syringae",0
"GCF_000452585.1_CC457_092313_2.0_genomic.fna",0,"0_AVEB02000356","syringae",0
"GCF_000452605.1_CC440_0923_2.0_genomic.fna",0,"0_AVEC02000354","syringae",0
"GCF_000452625.1_CC1630_092313_2.0_genomic.fna",0,"0_AVED02000283","avellanae",0
"GCF_000452645.1_CC1629_092313_2.0_genomic.fna",0,"15_AVEE02000261","tremae",0
"GCF_000452765.1_CC1513_092313_2.0_genomic.fna",0,"15_AVEL02000164","tremae",0
"GCF_000452805.1_CC1458_092313_2.0_genomic.fna",0,"0_AVEN02000364","syringae",0
"GCF_000455425.1_B3-CFI_genomic.fna",1,"1_CBMS010000001","aeruginosa",0
"GCF_000455505.1_B3-20M_genomic.fna",1,"1_CBMU010000001","aeruginosa",0
"GCF_000455545.1_B3-1811_genomic.fna",1,"1_CBMP010000001","aeruginosa",0
"GCF_000455705.1_ASM45570v1_genomic.fna",1,"1_ATAQ01000001","aeruginosa",0
"GCF_000465575.1_GS_De_Novo_Assembly_genomic.fna",0,"82_AVQF01000001","alcaliphila_group",0
"GCF_000465595.1_GS_De_Novo_Assembly_genomic.fna",1,"44_AVQG01000001","simiae",0
"GCF_000467105.1_ASM46710v1_genomic.fna",0,"122_BATI01000122","alcaligenes",0
"GCF_000468555.2_ASM46855v1_genomic.fna",1,"1_022361","aeruginosa",0
"GCF_000468935.2_ASM46893v1_genomic.fna",1,"1_022360","aeruginosa",0
"GCF_000473745.2_ASM47374v3_genomic.fna",1,"1_CP008739","aeruginosa",0
"GCF_000478465.2_Pseu_aeru_Stone_130_V1_genomic.fna",1,"1_KI517348","aeruginosa",0
"GCF_000478485.2_Pseu_sp_P179_V1_genomic.fna",1,"9_KI517354","aeruginosa",0
"GCF_000478505.2_Pseu_sp_HPB0071_V1_genomic.fna",0,"9_KI517367","luteola_group",0
"GCF_000480355.1_Pseu_aeru_CF614_V1_genomic.fna",1,"1_KI518656","aeruginosa",0
"GCF_000480375.1_Pseu_aeru_CF77_V1_genomic.fna",1,"1_KI518663","aeruginosa",0
"GCF_000480395.1_Pseu_aeru_3572_V1_genomic.fna",1,"1_KI518677","aeruginosa",0
"GCF_000480415.1_Pseu_aeru_3571_V1_genomic.fna",1,"1_KI518685","aeruginosa",0
"GCF_000480435.1_Pseu_aeru_3570_V1_genomic.fna",1,"1_KI518703","aeruginosa",0
"GCF_000480455.1_Pseu_aeru_3569_V1_genomic.fna",1,"1_KI518709","aeruginosa",0
"GCF_000480475.1_Pseu_aeru_3568_V1_genomic.fna",1,"1_KI518712","aeruginosa",0
"GCF_000480495.1_Pseu_aeru_3567_V1_genomic.fna",1,"1_KI518716","aeruginosa",0
"GCF_000480515.1_Pseu_aeru_3566_V1_genomic.fna",1,"1_KI518719","aeruginosa",0
"GCF_000480535.1_Pseu_aeru_3098_V1_genomic.fna",1,"1_KI518722","aeruginosa",0
"GCF_000480555.1_Pseu_aeru_3097_V1_genomic.fna",1,"1_KI518732","aeruginosa",0
"GCF_000480575.1_Pseu_aeru_3096_V1_genomic.fna",1,"1_KI518737","aeruginosa",0
"GCF_000480595.1_Pseu_aeru_3095_V1_genomic.fna",1,"1_KI518741","aeruginosa",0
"GCF_000480615.1_Pseu_aeru_3094_V1_genomic.fna",1,"1_KI518747","aeruginosa",0
"GCF_000480645.1_Pseu_aeru_BL25_V1_genomic.fna",1,"1_KI518750","aeruginosa",0
"GCF_000480665.1_Pseu_aeru_BL24_V1_genomic.fna",1,"1_KI518757","aeruginosa",0
"GCF_000480685.1_Pseu_aeru_BL23_V1_genomic.fna",1,"1_KI518765","aeruginosa",0
"GCF_000480705.1_Pseu_aeru_BL22_V1_genomic.fna",1,"1_KI518781","aeruginosa",0
"GCF_000480725.1_Pseu_aeru_BL21_V1_genomic.fna",1,"1_KI518793","aeruginosa",0
"GCF_000480745.1_Pseu_aeru_BL20_V1_genomic.fna",1,"1_KI518796","aeruginosa",0
"GCF_000480765.1_Pseu_aeru_BL19_V1_genomic.fna",1,"1_KI518814","aeruginosa",0
"GCF_000480785.1_Pseu_aeru_BL18_V1_genomic.fna",1,"1_KI518819","aeruginosa",0
"GCF_000480805.1_Pseu_aeru_BL17_V1_genomic.fna",1,"1_KI518822","aeruginosa",0
"GCF_000480825.1_Pseu_aeru_BL16_V1_genomic.fna",1,"1_KI518825","aeruginosa",0
"GCF_000480845.1_Pseu_aeru_BL15_V1_genomic.fna",1,"1_KI518835","aeruginosa",0
"GCF_000480865.1_Pseu_aeru_BL14_V1_genomic.fna",1,"1_KI518844","aeruginosa",0
"GCF_000480885.1_Pseu_aeru_BL13_V1_genomic.fna",1,"1_KI518852","aeruginosa",0
"GCF_000480905.1_Pseu_aeru_BL12_V1_genomic.fna",1,"1_KI518856","aeruginosa",0
"GCF_000480925.1_Pseu_aeru_BL11_V1_genomic.fna",1,"1_KI518875","aeruginosa",0
"GCF_000480945.1_Pseu_aeru_BL10_V1_genomic.fna",1,"1_KI518883","aeruginosa",0
"GCF_000480965.1_Pseu_aeru_BL09_V1_genomic.fna",1,"1_KI518886","aeruginosa",0
"GCF_000480985.1_Pseu_aeru_BL08_V1_genomic.fna",1,"1_KI518897","aeruginosa",0
"GCF_000481005.1_Pseu_aeru_BL07_V1_genomic.fna",1,"1_KI518906","aeruginosa",0
"GCF_000481025.1_Pseu_aeru_BL06_V1_genomic.fna",1,"1_KI518915","aeruginosa",0
"GCF_000481045.1_Pseu_aeru_BL05_V1_genomic.fna",1,"1_KI518928","aeruginosa",0
"GCF_000481065.1_Pseu_aeru_BL04_V1_genomic.fna",1,"1_KI518931","aeruginosa",0
"GCF_000481085.1_Pseu_aeru_BL03_V1_genomic.fna",1,"1_KI518942","aeruginosa",0
"GCF_000481105.1_Pseu_aeru_BL02_V1_genomic.fna",1,"1_KI518949","aeruginosa",0
"GCF_000481125.1_Pseu_aeru_BL01_V1_genomic.fna",1,"1_KI518955","aeruginosa",0
"GCF_000481145.1_Pseu_aeru_BWH028_V1_genomic.fna",1,"1_KI518959","aeruginosa",0
"GCF_000481165.1_Pseu_aeru_BWH027_V1_genomic.fna",1,"1_KI518973","aeruginosa",0
"GCF_000481185.1_Pseu_aeru_BWH026_V1_genomic.fna",1,"1_KI518981","aeruginosa",0
"GCF_000481205.1_Pseu_aeru_BWH025_V1_genomic.fna",1,"1_KI518992","aeruginosa",0
"GCF_000481225.1_Pseu_aeru_BWH024_V1_genomic.fna",1,"1_KI518996","aeruginosa",0
"GCF_000481245.1_Pseu_aeru_BWH023_V1_genomic.fna",1,"1_KI519001","aeruginosa",0
"GCF_000481265.1_Pseu_aeru_BWH022_V1_genomic.fna",1,"1_KI519017","aeruginosa",0
"GCF_000481285.1_Pseu_aeru_BWH021_V1_genomic.fna",1,"1_KI519023","aeruginosa",0
"GCF_000481305.1_Pseu_aeru_BWH020_V1_genomic.fna",1,"1_KI519027","aeruginosa",0
"GCF_000481325.1_Pseu_aeru_BWH019_V1_genomic.fna",1,"1_KI519051","aeruginosa",0
"GCF_000481345.1_Pseu_aeru_BWH018_V1_genomic.fna",1,"1_KI519054","aeruginosa",0
"GCF_000481365.1_Pseu_aeru_BWH017_V1_genomic.fna",1,"1_KI519063","aeruginosa",0
"GCF_000481385.1_Pseu_aeru_BWH016_V1_genomic.fna",1,"1_KI519068","aeruginosa",0
"GCF_000481405.1_Pseu_aeru_BWH015_V1_genomic.fna",1,"1_KI519071","aeruginosa",0
"GCF_000481425.1_Pseu_aeru_BWH014_V1_genomic.fna",1,"1_KI519076","aeruginosa",0
"GCF_000481445.1_Pseu_aeru_BWH013_V1_genomic.fna",1,"1_KI519078","aeruginosa",0
"GCF_000481465.1_Pseu_aeru_BWH012_V1_genomic.fna",1,"1_KI519080","aeruginosa",0
"GCF_000481485.1_Pseu_aeru_BWH011_V1_genomic.fna",1,"1_KI519084","aeruginosa",0
"GCF_000481505.1_Pseu_aeru_BWH010_V1_genomic.fna",1,"1_KI519095","aeruginosa",0
"GCF_000481525.1_Pseu_aeru_BWH009_V1_genomic.fna",1,"1_KI519116","aeruginosa",0
"GCF_000481545.1_Pseu_aeru_BWH008_V1_genomic.fna",1,"1_KI519134","aeruginosa",0
"GCF_000481565.1_Pseu_aeru_BWH007_V1_genomic.fna",1,"1_KI519139","aeruginosa",0
"GCF_000481585.1_Pseu_aeru_BWH006_V1_genomic.fna",1,"1_KI519145","aeruginosa",0
"GCF_000481605.1_Pseu_aeru_BWH005_V1_genomic.fna",1,"1_KI519153","aeruginosa",0
"GCF_000481625.1_Pseu_aeru_BWH004_V1_genomic.fna",1,"1_KI519157","aeruginosa",0
"GCF_000481645.1_Pseu_aeru_BWH003_V1_genomic.fna",1,"1_KI519160","aeruginosa",0
"GCF_000481665.1_Pseu_aeru_BWH002_V1_genomic.fna",1,"1_KI519173","aeruginosa",0
"GCF_000481685.1_Pseu_aeru_BWH001_V1_genomic.fna",1,"1_KI519184","aeruginosa",0
"GCF_000481705.1_Pseu_aeru_X13273_V1_genomic.fna",1,"1_KI519192","aeruginosa",0
"GCF_000481725.1_Pseu_aeru_S35004_V1_genomic.fna",1,"1_KI519207","aeruginosa",0
"GCF_000481745.1_Pseu_aeru_6077_V1_genomic.fna",1,"1_KI519216","aeruginosa",0
"GCF_000481765.1_Pseu_aeru_19660_V1_genomic.fna",1,"1_KI519229","aeruginosa",0
"GCF_000481785.1_Pseu_aeru_U2504_V1_genomic.fna",1,"1_KI519240","aeruginosa",0
"GCF_000481805.1_Pseu_aeru_JJ692_V1_genomic.fna",1,"1_KI519251","aeruginosa",0
"GCF_000481825.1_Pseu_aeru_S54485_V1_genomic.fna",1,"1_KI519256","aeruginosa",0
"GCF_000481845.1_Pseu_aeru_UDL_V1_genomic.fna",1,"1_KI519264","aeruginosa",0
"GCF_000481865.1_Pseu_aeru_X24509_V1_genomic.fna",1,"1_KI519266","aeruginosa",0
"GCF_000481885.1_Pseu_aeru_CF5_V1_genomic.fna",1,"1_KI519271","aeruginosa",0
"GCF_000481905.1_Pseu_aeru_CF27_V1_genomic.fna",1,"1_KI519276","aeruginosa",0
"GCF_000481925.1_Pseu_aeru_CF18_V1_genomic.fna",1,"1_KI519281","aeruginosa",0
"GCF_000481945.1_Pseu_aeru_CF127_V1_genomic.fna",1,"1_KI519287","aeruginosa",0
"GCF_000481965.1_Pseu_aeru_MSH10_V1_genomic.fna",1,"1_KI519294","aeruginosa",0
"GCF_000481985.1_Pseu_aeru_MSH3_V1_genomic.fna",1,"1_KI519298","aeruginosa",0
"GCF_000482005.1_Pseu_aeru_E2_V1_genomic.fna",1,"1_KI519305","aeruginosa",0
"GCF_000482025.1_Pseu_aeru_62_V1_genomic.fna",1,"1_KI519315","aeruginosa",0
"GCF_000483105.1_ASM48310v1_genomic.fna",1,"9_KI519551","monteilii",0
"GCF_000484495.2_ASM48449v1_genomic.fna",1,"1_022591","aeruginosa",0
"GCF_000484545.2_ASM48454v1_genomic.fna",1,"1_022594","aeruginosa",0
"GCF_000494915.1_ASM49491v1_genomic.fna",1,"9_022738","taiwanensis",0
"GCF_000495915.1_PseChl_genomic.fna",0,"109_AOFQ01000001","chloritidismutans_group",1
"GCF_000496455.2_ASM49645v2_genomic.fna",1,"1_CP013993","aeruginosa",0
"GCF_000496605.2_ASM49660v2_genomic.fna",1,"1_022808","aeruginosa",0
"GCF_000496645.1_ASM49664v1_genomic.fna",1,"1_022806","aeruginosa",0
"GCF_000497385.1_EDP1a_genomic.fna",1,"24_AYJQ01000001","fulva",0
"GCF_000498975.2_ASM49897v2_genomic.fna",1,"23_CP009365","soli",0
"GCF_000503175.1_Assembly_DHS29_of_Sep_2013_genomic.fna",1,"1_AYON01000001","aeruginosa",0
"GCF_000504045.1_ASM50404v1_genomic.fna",1,"1_023019","aeruginosa",0
"GCF_000504485.1_ATCC15442_genomic.fna",1,"1_AYUC01000001","aeruginosa",0
"GCF_000506385.1_PcsubspaPBSt2-2.0_genomic.fna",1,"16_AYUD01000001","chlororaphis",0
"GCF_000506805.1_P_aeruginosa_VRFPA07_genomic.fna",1,"1_AZBO01000001","aeruginosa",0
"GCF_000506885.1_P_aeruginosa_VRFPA08_genomic.fna",1,"1_AZHU01000001","aeruginosa",0
"GCF_000507185.2_PSs_v03_genomic.fna",0,"0_AYTM02000001","syringae",0
"GCF_000508765.1_ASM50876v1_genomic.fna",1,"1_023066","aeruginosa",0
"GCF_000510305.1_ASM51030v1_genomic.fna",1,"1_023149","aeruginosa",0
"GCF_000510705.1_ASM51070v1_genomic.fna",0,"9_KI783307","oryzihabitans_group",0
"GCF_000510745.1_ASM51074v1_genomic.fna",0,"9_KI783313","oryzihabitans_group",0
"GCF_000510765.1_ASM51076v1_genomic.fna",0,"90_KI783315","oryzihabitans_group",0
"GCF_000510785.1_ASM51078v1_genomic.fna",0,"26_KI783320","brassicacearum_group",0
"GCF_000510915.2_v1_genomic.fna",1,"9_AOHN01000001","brenneri",0
"GCF_000512485.1_PCYL_1_genomic.fna",1,"16_AWWJ01000001","chlororaphis",0
"GCF_000513235.1_MH27_genomic.fna",1,"1_CBTR010000001","aeruginosa",0
"GCF_000513835.1_ASM51383v1_genomic.fna",0,"12_AZUT01000001","thermotolerans",0
"GCF_000514235.1_ASM51423v1_genomic.fna",1,"9_AZVN01000001","fulva",0
"GCF_000514275.1_ASM51427v1_genomic.fna",0,"9_KI911372","brassicacearum_group",0
"GCF_000514295.1_ASM51429v1_genomic.fna",1,"9_AZVQ01000001","monteilii",0
"GCF_000514315.1_ASM51431v1_genomic.fna",1,"9_AZVR01000001","monteilii",0
"GCF_000514335.1_ASM51433v1_genomic.fna",1,"9_AZVS01000001","monteilii",0
"GCF_000514355.1_ASM51435v1_genomic.fna",1,"9_AZVT01000001","monteilii",0
"GCF_000514375.1_ASM51437v1_genomic.fna",1,"9_AZVU01000001","marginalis",0
"GCF_000517305.1_ASM51730v1_genomic.fna",0,"61_CP007039","cichorii",0
"GCF_000518065.1_PseAze1.0_genomic.fna",1,"91_AZRU01000001","nitroreducens",0
"GCF_000520175.1_Pseu_aeru_PS50_V1_genomic.fna",1,"1_KI914433","aeruginosa",0
"GCF_000520195.1_Pseu_aeru_PS42_V1_genomic.fna",1,"1_KI914437","aeruginosa",0
"GCF_000520215.1_Pseu_aeru_Z61_V1_genomic.fna",1,"1_KI914456","aeruginosa",0
"GCF_000520235.1_Pseu_aeru_BWHPSA048_V1_genomic.fna",1,"1_KI914461","aeruginosa",0
"GCF_000520255.1_Pseu_aeru_BWHPSA047_V1_genomic.fna",1,"1_KI914463","aeruginosa",0
"GCF_000520275.1_Pseu_aeru_BWHPSA046_V1_genomic.fna",1,"1_KI914466","aeruginosa",0
"GCF_000520295.1_Pseu_aeru_BWHPSA045_V1_genomic.fna",1,"1_KI914476","aeruginosa",0
"GCF_000520315.1_Pseu_aeru_BWHPSA044_V1_genomic.fna",1,"1_KI914481","aeruginosa",0
"GCF_000520335.1_Pseu_aeru_BWHPSA043_V1_genomic.fna",1,"1_KI914485","aeruginosa",0
"GCF_000520355.1_Pseu_aeru_BWHPSA042_V1_genomic.fna",1,"1_KI914512","aeruginosa",0
