description,filename,id,species,source,species_code,cleaned_filename,contigs_greater_0_bp,contigs_greater_1000_bp,contigs_greater_5000_bp,contigs_greater_10000_bp,contigs_greater_25000_bp,contigs_greater_50000_bp,total_length_greater_0_bp,total_length_greater_1000_bp,total_length_greater_5000_bp,total_length_greater_10000_bp,total_length_greater_25000_bp,total_length_greater_50000_bp,total_contigs,largest_contig,total_length,N50,N75,L50,L75,number_Ns_per_100_kbp
"Pseudomonas syringae pv. castaneae strain ICMP9419 PcsICMP9419_Contig_1, whole genome shotgun sequence",GCF_001400285.1_PcsICMP9419_genomic.fna,NZ_LJQD01000333.1,syringae,REFSEQ,0,0_LJQD01000333,614,459,282,197,79,15,6378275,6300244,5854250,5237531,3372053,1023197,525,167020,6349981,27743,13242,72,157,148.77
"Pseudomonas syringae pv. primulae strain ICMP 2732 PprICMP2732_Contig_1, whole genome shotgun sequence",GCF_003700055.1_ASM370005v1_genomic.fna,NZ_RBPY01000051.1,syringae,REFSEQ,0,0_RBPY01000051,217,176,149,126,82,44,6379259,6357224,6299222,6123559,5402233,3970929,199,191637,6373315,62876,38298,30,63,23.24
"Pseudomonas aeruginosa strain PABL016 NODE_100_length_985_cov_149.708, whole genome shotgun sequence",GCF_003412165.1_ASM341216v1_genomic.fna,NZ_QVDW01000099.1,aeruginosa,REFSEQ,1,1_QVDW01000099,134,98,72,63,55,45,6452438,6437034,6374951,6314079,6172601,5793127,107,306962,6443512,134142,84250,16,31,0.0
"Pseudomonas sp. 424 Ga0255682_11, whole genome shotgun sequence",GCF_003386005.1_ASM338600v1_genomic.fna,NZ_QRED01000001.1,sp.,REFSEQ,4,4_QRED01000001,1,1,1,1,1,1,6262788,6262788,6262788,6262788,6262788,6262788,1,6262788,6262788,6262788,6262788,1,1,0.0
"Pseudomonas aeruginosa strain AZPAE14817 AZPAE14817_contig_1, whole genome shotgun sequence",GCF_000795165.1_AZPAE14817_genomic.fna,NZ_JTVR01000001.1,aeruginosa,REFSEQ,1,1_JTVR01000001,50,48,45,40,39,29,6295916,6294247,6287528,6255339,6239952,5852314,50,654448,6295916,269341,125764,8,16,17.87
"Pseudomonas aeruginosa strain WH-SGI-V-07499 WH-SGI-V-07499_contig1, whole genome shotgun sequence",GCF_001453205.1_WH-SGI-V-07499_genomic.fna,NZ_LLQF01000001.1,aeruginosa,REFSEQ,1,1_LLQF01000001,95,51,34,30,26,22,6762408,6743208,6701078,6677129,6601971,6448493,62,664327,6750905,384391,256114,7,12,0.01
"Pseudomonas sp. 286 isolate p21.B3, whole genome shotgun sequence",GCF_900584675.1_p21.B3_genomic.fna,NZ_UTQQ01000071.1,sp.,REFSEQ,4,4_UTQQ01000071,71,48,41,39,35,31,5987741,5980267,5962292,5947289,5881018,5727232,50,520008,5981736,196746,144748,10,19,0.03
"Pseudomonas moorei strain KB4 NODE_100_length_3017_cov_32.092, whole genome shotgun sequence",GCF_004212425.1_ASM421242v1_genomic.fna,NZ_RXNH01000100.1,moorei,REFSEQ,11,11_RXNH01000100,180,120,94,87,65,46,6798255,6774252,6712588,6661481,6298605,5594052,129,354757,6780489,121653,70247,19,38,0.0
"Pseudomonas frederiksbergensis strain BS3655, whole genome shotgun sequence",GCF_900105495.1_IMG-taxon_2636416079_annotated_assembly_genomic.fna,NZ_FNTF01000002.1,frederiksbergensis,REFSEQ,12,12_FNTF01000002,2,2,2,2,2,2,6394336,6394336,6394336,6394336,6394336,6394336,2,6302433,6394336,6302433,6302433,1,1,0.0
"Pseudomonas sp. 286 isolate p8.E9, whole genome shotgun sequence",GCF_900601865.1_p8.E9_genomic.fna,NZ_UWEQ01000081.1,sp.,REFSEQ,4,4_UWEQ01000081,81,17,17,15,14,14,6094809,6074572,6074572,6059614,6034813,6034813,18,890073,6075090,547276,343889,5,8,0.0
"Pseudomonas aeruginosa strain ATCC 43732 scaffold_0, whole genome shotgun sequence",GCF_001445035.1_ASM144503v1_genomic.fna,NZ_LJZN01000001.1,aeruginosa,REFSEQ,1,1_LJZN01000001,206,167,121,105,76,45,6532962,6512402,6388228,6281052,5772852,4630655,186,269982,6526318,79570,46461,24,51,11.15
"Pseudomonas stutzeri strain AR9-4 contig_1, whole genome shotgun sequence",GCF_001705635.1_ASM170563v1_genomic.fna,NZ_MDGV01000001.1,stutzeri,REFSEQ,2,2_MDGV01000001,16,13,11,10,9,9,4580870,4578645,4574059,4568394,4552851,4552851,16,1126041,4580870,623122,493497,3,5,2.84
"Pseudomonas aeruginosa strain Pae_CF67.03p CF67.03p_contig_1, whole genome shotgun sequence",GCF_001023835.1_ASM102383v1_genomic.fna,NZ_LDLM01000001.1,aeruginosa,REFSEQ,1,1_LDLM01000001,145,94,70,63,54,38,6406574,6384091,6328525,6283854,6129994,5524723,109,570152,6395190,138463,89912,12,27,15.07
"Pseudomonas syringae pv. actinidiae strain CRAFRU 14.08 chromosome, complete genome",GCF_002024305.1_ASM202430v1_genomic.fna,NZ_CP019732.1,syringae,REFSEQ,0,0_CP019732,2,2,2,2,2,2,6620488,6620488,6620488,6620488,6620488,6620488,2,6546028,6620488,6546028,6546028,1,1,0.0
"Pseudomonas amygdali pv. mori strain ICMP 535 PmoICMP535_Contig_1, whole genome shotgun sequence",GCF_003701185.1_ASM370118v1_genomic.fna,NZ_RBRD01000236.1,amygdali,REFSEQ,5,5_RBRD01000236,303,222,136,111,74,46,6020453,5982446,5787519,5603479,5043156,4008811,256,193090,6005518,66234,38952,29,58,41.28
"Pseudomonas aeruginosa strain WH-SGI-V-07633 WH-SGI-V-07633_contig1, whole genome shotgun sequence",GCF_001452105.1_WH-SGI-V-07633_genomic.fna,NZ_LLRE01000001.1,aeruginosa,REFSEQ,1,1_LLRE01000001,138,94,61,51,44,37,6942577,6927240,6840755,6775240,6656476,6366865,102,621135,6932829,206525,121473,10,22,1.23
"Pseudomonas aeruginosa strain AZPAE14912 AZPAE14912_contig_1, whole genome shotgun sequence",GCF_000794055.1_AZPAE14912_genomic.fna,NZ_JTSD01000001.1,aeruginosa,REFSEQ,1,1_JTSD01000001,89,85,63,54,49,39,6835920,6833007,6786968,6721242,6636337,6286022,89,429133,6835920,211578,99798,13,24,26.21
"Pseudomonas sp. 286 isolate p6.E8, whole genome shotgun sequence",GCF_900600295.1_p6.E8_genomic.fna,NZ_UVYQ01000047.1,sp.,REFSEQ,4,4_UVYQ01000047,47,29,23,23,20,19,5987396,5980739,5968343,5968343,5909828,5864675,31,1343335,5982208,497886,231755,4,9,0.0
"Pseudomonas aeruginosa strain WH-SGI-V-07418 WH-SGI-V-07418_contig1, whole genome shotgun sequence",GCF_001453125.1_WH-SGI-V-07418_genomic.fna,NZ_LLPF01000001.1,aeruginosa,REFSEQ,1,1_LLPF01000001,167,100,54,46,40,30,6791929,6760360,6652487,6603943,6526087,6152502,124,671049,6776577,211499,120401,9,18,0.0
"Pseudomonas tremae strain CC1629 contig261.1, whole genome shotgun sequence",GCF_000452645.1_CC1629_092313_2.0_genomic.fna,NZ_AVEE02000261.1,tremae,REFSEQ,13,13_AVEE02000261,261,178,111,90,64,38,5932928,5889579,5725097,5580625,5126190,4165257,218,305884,5919626,75208,44820,20,44,0.0
"Pseudomonas aeruginosa strain Pae_CF67.11c CF67.11c_contig_1, whole genome shotgun sequence",GCF_001036115.1_ASM103611v1_genomic.fna,NZ_LEIV01000001.1,aeruginosa,REFSEQ,1,1_LEIV01000001,172,146,119,104,78,50,6383504,6372670,6309154,6203597,5758701,4738095,152,246977,6377135,74398,49665,27,51,202.24
"Pseudomonas aeruginosa strain ATCC 33350 scaffold_0, whole genome shotgun sequence",GCF_001420205.1_ASM142020v1_genomic.fna,NZ_LJNW01000001.1,aeruginosa,REFSEQ,1,1_LJNW01000001,169,135,104,90,68,42,6354875,6336986,6258053,6161097,5778949,4884291,153,419705,6349484,91826,52714,16,40,19.23
"Pseudomonas syringae strain ICMP 508 scaffold1, whole genome shotgun sequence",GCF_002699905.1_ASM269990v1_genomic.fna,NZ_LKBS01000001.1,syringae,REFSEQ,0,0_LKBS01000001,67,46,39,38,36,28,5967770,5958097,5942553,5932604,5892295,5627389,53,644835,5962577,349418,114183,7,15,4.19
"Pseudomonas aeruginosa strain P28a NODE_10_length_224274_cov_17.3965, whole genome shotgun sequence",GCF_002326325.1_ASM232632v1_genomic.fna,NZ_NQZT01000010.1,aeruginosa,REFSEQ,1,1_NQZT01000010,88,63,50,44,40,34,6521581,6504946,6473337,6431288,6369491,6140496,85,512515,6520359,218250,129891,11,21,0.0
"Pseudomonas aeruginosa strain AZPAE14910 AZPAE14910_contig_1, whole genome shotgun sequence",GCF_000789975.1_AZPAE14910_genomic.fna,NZ_JTSF01000001.1,aeruginosa,REFSEQ,1,1_JTSF01000001,62,54,41,35,31,23,6253654,6247759,6222299,6181665,6130861,5795899,62,754043,6253654,407277,142480,6,12,64.95
"Pseudomonas fluorescens strain DSM 50090 PREFIX_contig_1, whole genome shotgun sequence",GCF_001269845.1_ASM126984v1_genomic.fna,NZ_LHVP01000001.1,fluorescens,REFSEQ,9,9_LHVP01000001,17,14,14,13,12,12,6388150,6386018,6386018,6380217,6361133,6361133,17,1518940,6388150,973472,396200,3,5,0.09
"Pseudomonas aeruginosa strain HUM-228 PA3_D1_NODE_100_length_15060_cov_34.1138_ID_199, whole genome shotgun sequence",GCF_003630735.1_ASM363073v1_genomic.fna,NZ_RACJ01000074.1,aeruginosa,REFSEQ,1,1_RACJ01000074,201,200,158,127,75,47,6740756,6739814,6616077,6395003,5608138,4566846,201,282670,6740756,77968,42905,27,58,0.0
"Pseudomonas aeruginosa strain MUC-P4, whole genome shotgun sequence",GCF_008843095.1_ASM884309v1_genomic.fna,NZ_WBZF01000001.1,aeruginosa,REFSEQ,1,1_WBZF01000001,108,82,67,60,55,37,6209789,6196699,6162631,6114282,6007583,5357551,93,407091,6204074,160065,77886,12,26,0.0
"Pseudomonas aeruginosa strain VET-40 PA4_C1_NODE_10_length_178272_cov_40.4648_ID_19, whole genome shotgun sequence",GCF_003630335.1_ASM363033v1_genomic.fna,NZ_RADE01000060.1,aeruginosa,REFSEQ,1,1_RADE01000060,70,70,56,52,45,35,6471741,6471741,6436994,6410631,6293940,5861390,70,792869,6471741,178153,108044,11,23,0.0
"Pseudomonas aeruginosa PAO1, complete genome",GCF_000006765.1_ASM676v1_genomic.fna,NC_002516.2,aeruginosa,REFSEQ,1,1_002516,1,1,1,1,1,1,6264404,6264404,6264404,6264404,6264404,6264404,1,6264404,6264404,6264404,6264404,1,1,0.0
"Pseudomonas aeruginosa strain PABL090 NODE_100_length_6147_cov_60.4425, whole genome shotgun sequence",GCF_003410505.1_ASM341050v1_genomic.fna,NZ_QVBG01000100.1,aeruginosa,REFSEQ,1,1_QVBG01000100,179,132,104,90,67,47,6835148,6812919,6746483,6654248,6235252,5508584,150,350803,6826126,105875,59446,19,40,0.0
"Pseudomonas syringae ICMP 11292 scaffold1, whole genome shotgun sequence",GCF_001467365.1_ASM146736v1_genomic.fna,NZ_LKGU01000001.1,syringae,REFSEQ,0,0_LKGU01000001,70,60,44,43,37,33,5809603,5805176,5771039,5763659,5673563,5506231,63,693110,5807474,181691,121344,10,19,1.08
"Pseudomonas savastanoi pv. glycinea strain ICMP 10449 PgyICMP10449_Contig_1, whole genome shotgun sequence",GCF_003699125.1_ASM369912v1_genomic.fna,NZ_RBOT01000781.1,savastanoi,REFSEQ,8,8_RBOT01000781,1348,1020,407,133,7,0,5735752,5555313,3926827,2054278,212479,0,1202,38261,5687558,7268,4186,228,482,101.1
"Pseudomonas sp. 286 isolate p7.F1, whole genome shotgun sequence",GCF_900601125.1_p7.F1_genomic.fna,NZ_UWBV01000092.1,sp.,REFSEQ,4,4_UWBV01000092,94,11,11,10,10,10,6100858,6074066,6074066,6068655,6068655,6068655,13,1826437,6075353,723264,522129,3,5,0.0
"Pseudomonas aeruginosa isolate 408, whole genome shotgun sequence",GCF_900147335.1_408_genomic.fna,NZ_FRTB01000332.1,aeruginosa,REFSEQ,1,1_FRTB01000332,332,296,223,178,93,38,7244312,7222920,7025381,6695787,5206816,3264798,317,241749,7237632,42287,23060,46,103,0.0
"Pseudomonas aeruginosa strain GO34 NODE_100_length_991_cov_18.458333, whole genome shotgun sequence",GCF_007004305.1_ASM700430v1_genomic.fna,NZ_VJMM01000098.1,aeruginosa,REFSEQ,1,1_VJMM01000098,131,97,55,48,40,32,7050619,7026776,6925154,6880529,6737950,6434612,131,735207,7050619,234695,146091,9,18,0.0
"Pseudomonas savastanoi pv. glycinea strain ICMP 4181 PgyICMP4181_Contig_1, whole genome shotgun sequence",GCF_003701045.1_ASM370104v1_genomic.fna,NZ_RBQY01000031.1,savastanoi,REFSEQ,8,8_RBQY01000031,502,390,251,188,77,19,5931059,5874913,5523047,5066216,3247161,1198275,439,91310,5909840,28157,15244,67,138,41.19
"Pseudomonas aeruginosa BWHPSA042 adkfZ-supercont1.1, whole genome shotgun sequence",GCF_000520355.1_Pseu_aeru_BWHPSA042_V1_genomic.fna,NZ_KI914512.1,aeruginosa,REFSEQ,1,1_KI914512,3,3,3,3,3,3,5893387,5893387,5893387,5893387,5893387,5893387,3,3698149,5893387,3698149,1482020,1,2,115.18
"Pseudomonas aeruginosa strain PA_112 NODE_10_length_213636_cov_13.8779, whole genome shotgun sequence",GCF_003936325.1_ASM393632v1_genomic.fna,NZ_RHSS01000010.1,aeruginosa,REFSEQ,1,1_RHSS01000010,60,50,37,34,33,27,6247134,6238613,6205399,6187753,6163269,5921504,60,915543,6247134,301842,151824,7,14,11.3
