Bin Id,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity
GCF_000789935.1_AZPAE15037_genomic,Pseudomonas (5),182,833,312,5,823,5,0,0,0,99.32,0.48,0.0
GCF_000790265.1_AZPAE14869_genomic,Pseudomonas (5),182,833,312,6,825,2,0,0,0,99.34,0.11,0.0
GCF_000790525.1_AZPAE14879_genomic,Pseudomonas (5),182,833,312,3,829,1,0,0,0,99.44,0.08,0.0
GCF_000790985.1_AZPAE15045_genomic,Pseudomonas (5),182,833,312,4,828,1,0,0,0,99.44,0.08,0.0
GCF_000791765.1_AZPAE14960_genomic,Pseudomonas (5),182,833,312,5,827,1,0,0,0,99.07,0.08,0.0
GCF_000791905.1_AZPAE14965_genomic,Pseudomonas (5),182,833,312,6,822,4,1,0,0,99.07,0.77,42.86
GCF_000792045.1_AZPAE15044_genomic,Pseudomonas (5),182,833,312,5,827,1,0,0,0,98.8,0.08,0.0
GCF_000792225.1_AZPAE14980_genomic,Pseudomonas (5),182,833,312,3,829,1,0,0,0,99.2,0.08,0.0
GCF_000792625.1_AZPAE14998_genomic,Pseudomonas (5),182,833,312,1,831,1,0,0,0,99.68,0.08,0.0
GCF_000792745.1_AZPAE15004_genomic,Pseudomonas (5),182,833,312,2,830,1,0,0,0,99.6,0.08,0.0
GCF_000793165.1_AZPAE15056_genomic,Pseudomonas (5),182,833,312,5,827,1,0,0,0,99.36,0.08,0.0
GCF_000793315.1_AZPAE15063_genomic,Pseudomonas (5),182,833,312,3,826,4,0,0,0,99.56,0.45,0.0
GCF_000793645.1_AZPAE14938_genomic,Pseudomonas (5),182,833,312,5,823,5,0,0,0,99.2,0.77,0.0
GCF_000794305.1_AZPAE14836_genomic,Pseudomonas (5),182,833,312,3,829,1,0,0,0,99.31,0.08,0.0
GCF_000794515.1_AZPAE14687_genomic,Pseudomonas (5),182,833,312,1,829,3,0,0,0,99.68,0.32,0.0
GCF_000794745.1_AZPAE14701_genomic,Pseudomonas (5),182,833,312,6,823,4,0,0,0,98.9,0.48,25.0
GCF_000795385.1_AZPAE14828_genomic,Pseudomonas (5),182,833,312,1,829,3,0,0,0,99.68,0.17,33.33
GCF_000795425.1_AZPAE13848_genomic,Pseudomonas (5),182,833,312,1,831,1,0,0,0,99.68,0.08,0.0
GCF_000795805.1_AZPAE14705_genomic,Pseudomonas (5),182,833,312,11,819,3,0,0,0,98.16,0.43,0.0
GCF_000795845.1_AZPAE14372_genomic,Pseudomonas (5),182,833,312,1,830,2,0,0,0,99.68,0.13,0.0
GCF_000795865.1_AZPAE14724_genomic,Pseudomonas (5),182,833,312,3,828,2,0,0,0,99.28,0.24,50.0
GCF_000796005.1_AZPAE14393_genomic,Pseudomonas (5),182,833,312,1,829,3,0,0,0,99.68,0.18,0.0
GCF_000796025.1_AZPAE14707_genomic,Pseudomonas (5),182,833,312,6,826,1,0,0,0,99.28,0.08,0.0
GCF_000796505.1_AZPAE14538_genomic,Pseudomonas (5),182,833,312,1,831,1,0,0,0,99.68,0.08,0.0
GCF_000796525.1_AZPAE12138_genomic,Pseudomonas (5),182,833,312,3,829,1,0,0,0,99.62,0.08,0.0
GCF_000796545.1_AZPAE12135_genomic,Pseudomonas (5),182,833,312,8,822,3,0,0,0,98.61,0.29,33.33
GCF_000796685.1_AZPAE12143_genomic,Pseudomonas (5),182,833,312,3,829,1,0,0,0,99.28,0.08,0.0
GCF_000796705.1_AZPAE12144_genomic,Pseudomonas (5),182,833,312,4,827,2,0,0,0,99.23,0.24,0.0
GCF_000817865.1_ASM81786v1_genomic,Pseudomonas (5),182,833,312,2,830,1,0,0,0,99.6,0.08,0.0
GCF_000823925.1_LES_CF_sputum_CF03_contigs_9_a1_genomic,Pseudomonas (5),182,833,312,1,829,3,0,0,0,99.68,0.42,0.0
GCF_000824085.1_LES_CF_sputum_CF03_contigs_20_a1_genomic,Pseudomonas (5),182,833,312,2,828,3,0,0,0,99.6,0.42,0.0
GCF_000824225.1_LES_CF_sputum_CF03_contigs_29_a1_genomic,Pseudomonas (5),182,833,312,2,828,3,0,0,0,99.6,0.42,0.0
GCF_000824305.1_LES_CF_sputum_CF03_contigs_35_a1_genomic,Pseudomonas (5),182,833,312,2,828,3,0,0,0,99.6,0.42,0.0
GCF_000824525.1_LES_CF_sputum_CF03_contigs_19_a1_genomic,Pseudomonas (5),182,833,312,1,823,9,0,0,0,99.68,1.54,66.67
GCF_000824685.1_LES_CF_sputum_CF03_contigs_37_a1_genomic,Pseudomonas (5),182,833,312,2,828,3,0,0,0,99.6,0.42,0.0
GCF_000836475.1_R4V2_genomic,Pseudomonas (5),182,833,312,0,825,8,0,0,0,100.0,1.23,0.0
GCF_000935735.1_PSDCFBP3226-G1_genomic,Pseudomonas (5),182,833,312,1,831,1,0,0,0,99.89,0.08,0.0
GCF_000972175.1_CLC6_0_3_genomic,Pseudomonas (5),182,833,312,0,830,3,0,0,0,100.0,0.27,0.0
GCF_001007425.1_ASM100742v1_genomic,Pseudomonas (5),182,833,312,6,824,3,0,0,0,99.32,0.42,0.0
GCF_001020815.1_ASM102081v1_genomic,Pseudomonas (5),182,833,312,3,824,6,0,0,0,99.04,0.97,0.0
GCF_001024145.1_ASM102414v1_genomic,Pseudomonas (5),182,833,312,8,822,3,0,0,0,98.78,0.42,0.0
GCF_001024285.1_ASM102428v1_genomic,Pseudomonas (5),182,833,312,3,827,3,0,0,0,99.5,0.42,0.0
GCF_001034905.1_ASM103490v1_genomic,Pseudomonas (5),182,833,312,5,825,3,0,0,0,99.34,0.42,0.0
GCF_001035145.1_ASM103514v1_genomic,Pseudomonas (5),182,833,312,4,826,3,0,0,0,99.18,0.42,0.0
GCF_001035495.1_ASM103549v1_genomic,Pseudomonas (5),182,833,312,5,825,3,0,0,0,99.33,0.42,0.0
GCF_001035875.1_ASM103587v1_genomic,Pseudomonas (5),182,833,312,4,826,3,0,0,0,99.34,0.42,0.0
GCF_001036035.1_ASM103603v1_genomic,Pseudomonas (5),182,833,312,3,827,3,0,0,0,99.5,0.42,0.0
GCF_001036905.1_ASM103690v1_genomic,Pseudomonas (5),182,833,312,9,821,3,0,0,0,97.74,0.42,0.0
GCF_001036915.1_ASM103691v1_genomic,Pseudomonas (5),182,833,312,23,806,4,0,0,0,96.36,0.58,0.0
GCF_001038645.1_ASM103864v1_genomic,Pseudomonas (5),182,833,312,2,830,1,0,0,0,99.9,0.08,0.0
GCF_001042925.1_G1273_genomic,Pseudomonas (5),182,833,312,1,831,1,0,0,0,99.68,0.08,0.0
GCF_001060185.1_ASM106018v1_genomic,Pseudomonas (5),182,833,312,1,830,2,0,0,0,99.68,0.13,0.0
GCF_001180545.1_P7_London_17_VIM_2_06_09_genomic,Pseudomonas (5),182,833,312,3,829,1,0,0,0,99.6,0.08,0.0
GCF_001180785.1_P19_London_7_VIM_2_05_10_genomic,Pseudomonas (5),182,833,312,1,829,3,0,0,0,99.68,0.22,0.0
GCF_001181005.1_P30_South_East_2_VIM_2_10_11_genomic,Pseudomonas (5),182,833,312,1,831,1,0,0,0,99.68,0.08,0.0
GCF_001181165.1_P38_London_12_VIM_2_08_12_genomic,Pseudomonas (5),182,833,312,1,831,1,0,0,0,99.68,0.08,0.0
GCF_001181525.1_P52_1_London_26_VIM_2_02_13_genomic,Pseudomonas (5),182,833,312,2,829,2,0,0,0,99.6,0.13,0.0
GCF_001181885.1_P59_Wales_1_VIM_2_09_13_genomic,Pseudomonas (5),182,833,312,1,830,2,0,0,0,99.68,0.19,0.0
GCF_001182005.1_P63_London_25_VIM_2_03_14_genomic,Pseudomonas (5),182,833,312,3,829,1,0,0,0,99.63,0.08,0.0
GCF_001186195.1_ASM118619v1_genomic,Pseudomonas (5),182,833,312,0,828,5,0,0,0,100.0,0.48,0.0
GCF_001259595.1_ASM125959v1_genomic,Pseudomonas (5),182,833,312,4,823,6,0,0,0,99.45,0.5,16.67
GCF_001293725.1_Psv4352_genomic,Pseudomonas (5),182,833,312,0,830,3,0,0,0,100.0,0.13,0.0
GCF_001293935.1_Por36_1_genomic,Pseudomonas (5),182,833,312,0,831,2,0,0,0,100.0,0.24,0.0
GCF_001374075.1_279_15_211Gc_contigs_500_genomic,Pseudomonas (5),182,833,312,1,830,2,0,0,0,99.68,0.4,0.0
GCF_001374155.1_284_Rw202_contigs_500_genomic,Pseudomonas (5),182,833,312,1,823,8,1,0,0,99.68,1.36,0.0
GCF_001374275.1_290_15_111B_contigs_500_genomic,Pseudomonas (5),182,833,312,1,830,2,0,0,0,99.68,0.19,0.0
GCF_001374315.1_292_15_321Ga_contigs_500_genomic,Pseudomonas (5),182,833,312,1,828,4,0,0,0,99.68,0.53,0.0
GCF_001375195.1_270_Rw109_contigs_500_genomic,Pseudomonas (5),182,833,312,1,831,1,0,0,0,99.68,0.08,0.0
GCF_001375295.1_275_10Pc_4_contigs_500_genomic,Pseudomonas (5),182,833,312,1,830,2,0,0,0,99.68,0.11,0.0
GCF_001375475.1_208_15_211Bb_contigs_500_genomic,Pseudomonas (5),182,833,312,1,831,1,0,0,0,99.68,0.08,0.0
GCF_001400605.1_PphICMP2740_genomic,Pseudomonas (5),182,833,312,3,829,1,0,0,0,99.77,0.06,0.0
GCF_001401215.1_PvrICMP2848_genomic,Pseudomonas (5),182,833,312,0,829,4,0,0,0,100.0,0.26,25.0
GCF_001427465.1_Root569_genomic,Pseudomonas (5),182,833,312,0,830,3,0,0,0,100.0,0.48,0.0
GCF_001439695.1_G8123_genomic,Pseudomonas (5),182,833,312,0,825,8,0,0,0,100.0,0.94,0.0
GCF_001444835.1_ASM144483v1_genomic,Pseudomonas (5),182,833,312,3,827,3,0,0,0,99.36,0.29,0.0
GCF_001444915.1_ASM144491v1_genomic,Pseudomonas (5),182,833,312,1,825,7,0,0,0,99.68,0.81,0.0
GCF_001449165.1_WH-SGI-V-07057_genomic,Pseudomonas (5),182,833,312,1,829,3,0,0,0,99.68,0.18,0.0
GCF_001449175.1_WH-SGI-V-07074_genomic,Pseudomonas (5),182,833,312,1,826,6,0,0,0,99.68,0.35,0.0
GCF_001449245.1_WH-SGI-V-07049_genomic,Pseudomonas (5),182,833,312,4,828,1,0,0,0,99.25,0.08,0.0
GCF_001449785.1_WH-SGI-V-07187_genomic,Pseudomonas (5),182,833,312,1,831,1,0,0,0,99.68,0.08,0.0
GCF_001450005.1_WH-SGI-V-07237_genomic,Pseudomonas (5),182,833,312,1,822,10,0,0,0,99.68,1.51,0.0
GCF_001450675.1_WH-SGI-V-07227_genomic,Pseudomonas (5),182,833,312,2,825,6,0,0,0,99.62,0.53,0.0
GCF_001450745.1_WH-SGI-V-07236_genomic,Pseudomonas (5),182,833,312,1,830,2,0,0,0,99.68,0.1,0.0
GCF_001451485.1_WH-SGI-V-07425_genomic,Pseudomonas (5),182,833,312,1,827,5,0,0,0,99.68,0.5,0.0
GCF_001451945.1_WH-SGI-V-07618_genomic,Pseudomonas (5),182,833,312,0,831,2,0,0,0,100.0,0.19,0.0
GCF_001451975.1_WH-SGI-V-07621_genomic,Pseudomonas (5),182,833,312,1,830,2,0,0,0,99.68,0.13,0.0
GCF_001452325.1_WH-SGI-V-07647_genomic,Pseudomonas (5),182,833,312,1,824,7,1,0,0,99.68,1.22,0.0
GCF_001452365.1_WH-SGI-V-07651_genomic,Pseudomonas (5),182,833,312,1,831,1,0,0,0,99.68,0.08,0.0
GCF_001453225.1_WH-SGI-V-07501_genomic,Pseudomonas (5),182,833,312,1,831,1,0,0,0,99.68,0.08,0.0
GCF_001453735.1_WH-SGI-V-07701_genomic,Pseudomonas (5),182,833,312,1,830,1,1,0,0,99.68,0.17,25.0
GCF_001453945.1_WH-SGI-V-07279_genomic,Pseudomonas (5),182,833,312,2,829,2,0,0,0,99.52,0.1,50.0
GCF_001454225.1_WH-SGI-V-07296_genomic,Pseudomonas (5),182,833,312,1,831,1,0,0,0,99.68,0.08,0.0
GCF_001454235.1_WH-SGI-V-07297_genomic,Pseudomonas (5),182,833,312,1,828,4,0,0,0,99.68,0.24,0.0
GCF_001454305.1_WH-SGI-V-07309_genomic,Pseudomonas (5),182,833,312,2,823,8,0,0,0,99.36,0.87,12.5
GCF_001454465.1_WH-SGI-V-07323_genomic,Pseudomonas (5),182,833,312,39,793,1,0,0,0,96.71,0.08,0.0
GCF_001454515.1_WH-SGI-V-07364_genomic,Pseudomonas (5),182,833,312,3,829,1,0,0,0,99.28,0.08,0.0
GCF_001466835.1_ASM146683v1_genomic,Pseudomonas (5),182,833,312,1,829,3,0,0,0,99.68,0.43,0.0
GCF_001515915.2_ASM151591v2_genomic,Pseudomonas (5),182,833,312,5,827,1,0,0,0,99.41,0.08,0.0
GCF_001516105.1_ASM151610v1_genomic,Pseudomonas (5),182,833,312,1,830,2,0,0,0,99.68,0.11,0.0
GCF_001516365.2_ASM151636v2_genomic,Pseudomonas (5),182,833,312,3,829,1,0,0,0,99.04,0.08,0.0
GCF_001535725.1_ASM153572v1_genomic,Pseudomonas (5),182,833,312,0,831,2,0,0,0,100.0,0.24,0.0
GCF_001548335.1_ASM154833v1_genomic,Pseudomonas (5),182,833,312,1,830,2,0,0,0,99.68,0.4,0.0
GCF_001554325.1_ASM155432v1_genomic,Pseudomonas (5),182,833,312,2,827,4,0,0,0,99.65,0.45,0.0
GCF_001554395.1_ASM155439v1_genomic,Pseudomonas (5),182,833,312,3,828,2,0,0,0,99.33,0.19,0.0
GCF_001554425.1_ASM155442v1_genomic,Pseudomonas (5),182,833,312,3,829,1,0,0,0,99.33,0.08,0.0
GCF_001555425.1_ASM155542v1_genomic,Pseudomonas (5),182,833,312,2,830,1,0,0,0,99.52,0.08,0.0
GCF_001623945.1_ASM162394v1_genomic,Pseudomonas (5),182,833,312,1,828,4,0,0,0,99.68,0.74,0.0
GCF_001648775.1_ASM164877v1_genomic,Pseudomonas (5),182,833,312,0,831,2,0,0,0,100.0,0.19,0.0
GCF_001679685.1_ASM167968v1_genomic,Pseudomonas (5),182,833,312,1,823,9,0,0,0,99.68,1.26,0.0
GCF_001722005.2_ASM172200v2_genomic,Pseudomonas (5),182,833,312,1,825,7,0,0,0,99.68,1.63,0.0
GCF_001765645.1_ASM176564v1_genomic,Pseudomonas (5),182,833,312,1,830,2,0,0,0,99.68,0.19,50.0
GCF_001806505.1_ASM180650v1_genomic,Pseudomonas (5),182,833,312,1,827,5,0,0,0,99.68,0.51,0.0
GCF_001838695.1_ASM183869v1_genomic,Pseudomonas (5),182,833,312,7,816,10,0,0,0,98.56,1.68,0.0
GCF_001870265.1_ASM187026v1_genomic,Pseudomonas (5),182,833,312,1,826,6,0,0,0,99.68,0.8,0.0
GCF_001870465.1_ASM187046v1_genomic,Pseudomonas (5),182,833,312,0,830,3,0,0,0,100.0,0.51,0.0
GCF_001906605.1_ASM190660v1_genomic,Pseudomonas (5),182,833,312,1,828,4,0,0,0,99.68,0.8,0.0
GCF_001909605.1_ASM190960v1_genomic,Pseudomonas (5),182,833,312,1,830,2,0,0,0,99.68,0.19,0.0
GCF_001909615.1_ASM190961v1_genomic,Pseudomonas (5),182,833,312,1,829,3,0,0,0,99.68,0.28,0.0
GCF_002001265.1_ASM200126v1_genomic,Pseudomonas (5),182,833,312,1,830,2,0,0,0,99.68,0.4,0.0
GCF_002111865.1_ASM211186v1_genomic,Pseudomonas (5),182,833,312,1,830,2,0,0,0,99.68,0.19,0.0
GCF_002134965.1_ASM213496v1_genomic,Pseudomonas (5),182,833,312,2,826,5,0,0,0,99.36,0.55,20.0
GCF_002135715.1_ASM213571v1_genomic,Pseudomonas (5),182,833,312,1,828,4,0,0,0,99.68,0.45,0.0
GCF_002136295.1_ASM213629v1_genomic,Pseudomonas (5),182,833,312,1,829,3,0,0,0,99.68,0.15,0.0
GCF_002136525.1_ASM213652v1_genomic,Pseudomonas (5),182,833,312,1,829,3,0,0,0,99.68,0.45,0.0
GCF_002193815.1_ASM219381v1_genomic,Pseudomonas (5),182,833,312,1,823,9,0,0,0,99.68,1.18,0.0
GCF_002193825.1_ASM219382v1_genomic,Pseudomonas (5),182,833,312,2,824,7,0,0,0,99.36,0.64,0.0
GCF_002193905.1_ASM219390v1_genomic,Pseudomonas (5),182,833,312,1,828,4,0,0,0,99.68,0.4,0.0
GCF_002193915.1_ASM219391v1_genomic,Pseudomonas (5),182,833,312,1,830,2,0,0,0,99.68,0.13,0.0
GCF_002194005.1_ASM219400v1_genomic,Pseudomonas (5),182,833,312,1,828,4,0,0,0,99.68,0.45,0.0
GCF_002194085.1_ASM219408v1_genomic,Pseudomonas (5),182,833,312,1,831,1,0,0,0,99.68,0.08,0.0
GCF_002194095.1_ASM219409v1_genomic,Pseudomonas (5),182,833,312,1,828,4,0,0,0,99.68,0.21,0.0
GCF_002201405.1_ASM220140v1_genomic,Pseudomonas (5),182,833,312,1,829,3,0,0,0,99.68,0.45,0.0
GCF_002205355.1_ASM220535v1_genomic,Pseudomonas (5),182,833,312,1,821,11,0,0,0,99.68,1.13,72.73
GCF_002237015.1_ASM223701v1_genomic,Pseudomonas (5),182,833,312,1,831,1,0,0,0,99.68,0.08,0.0
GCF_002269115.1_ASM226911v1_genomic,Pseudomonas (5),182,833,312,0,829,4,0,0,0,100.0,0.37,0.0
GCF_002303975.1_ASM230397v1_genomic,Pseudomonas (5),182,833,312,0,826,7,0,0,0,100.0,0.45,42.86
GCF_002318735.1_ASM231873v1_genomic,Pseudomonas (5),182,833,312,4,816,13,0,0,0,99.25,3.29,84.62
GCF_002325925.1_ASM232592v1_genomic,Pseudomonas (5),182,833,312,1,831,1,0,0,0,99.68,0.08,0.0
GCF_002326595.1_ASM232659v1_genomic,Pseudomonas (5),182,833,312,1,830,2,0,0,0,99.68,0.11,0.0
GCF_002330005.1_ASM233000v1_genomic,Pseudomonas (5),182,833,312,1,831,1,0,0,0,99.68,0.08,0.0
GCF_002330315.1_ASM233031v1_genomic,Pseudomonas (5),182,833,312,1,829,3,0,0,0,99.68,0.51,0.0
GCF_002330955.1_ASM233095v1_genomic,Pseudomonas (5),182,833,312,1,831,1,0,0,0,99.68,0.08,0.0
GCF_002332015.1_ASM233201v1_genomic,Pseudomonas (5),182,833,312,0,831,2,0,0,0,100.0,0.1,50.0
GCF_002332095.1_ASM233209v1_genomic,Pseudomonas (5),182,833,312,1,830,2,0,0,0,99.68,0.11,0.0
GCF_002356095.1_ASM235609v1_genomic,Pseudomonas (5),182,833,312,0,822,10,1,0,0,100.0,2.51,7.69
GCF_002750495.1_ASM275049v1_genomic,Pseudomonas (5),182,833,312,10,811,12,0,0,0,97.44,1.79,83.33
GCF_002843625.1_ASM284362v1_genomic,Pseudomonas (5),182,833,312,0,814,19,0,0,0,100.0,1.55,78.95
GCF_002882345.1_FW306-1C-G01A_genomic,Pseudomonas (5),182,833,312,0,824,9,0,0,0,100.0,1.07,22.22
GCF_002882805.1_GP01-A11_genomic,Pseudomonas (5),182,833,312,0,824,9,0,0,0,100.0,1.32,0.0
GCF_002883175.1_MPR-AND1A_genomic,Pseudomonas (5),182,833,312,0,816,17,0,0,0,100.0,2.15,0.0
GCF_002884415.1_FW305-17_genomic,Pseudomonas (5),182,833,312,3,826,4,0,0,0,99.56,0.24,0.0
GCF_002896925.1_MiSeq_genomic,Pseudomonas (5),182,833,312,1,830,2,0,0,0,99.68,0.4,0.0
GCF_002901675.1_ASM290167v1_genomic,Pseudomonas (5),182,833,312,0,831,2,0,0,0,100.0,0.09,0.0
GCF_002905875.2_ASM290587v2_genomic,Pseudomonas (5),182,833,312,3,827,3,0,0,0,99.6,0.3,0.0
GCF_002916225.1_5264_genomic,Pseudomonas (5),182,833,312,0,829,4,0,0,0,100.0,0.88,0.0
GCF_002917175.1_psy100_genomic,Pseudomonas (5),182,833,312,1,830,2,0,0,0,99.97,0.24,0.0
GCF_002929225.1_ASM292922v1_genomic,Pseudomonas (5),182,833,312,2,829,2,0,0,0,99.36,0.14,0.0
GCF_002939285.1_ASM293928v1_genomic,Pseudomonas (5),182,833,312,0,830,3,0,0,0,100.0,0.26,0.0
GCF_002966555.1_ASM296655v1_genomic,Pseudomonas (5),182,833,312,0,830,3,0,0,0,100.0,0.35,0.0
GCF_002980075.1_ASM298007v1_genomic,Pseudomonas (5),182,833,312,0,830,3,0,0,0,100.0,0.51,0.0
GCF_002980105.1_ASM298010v1_genomic,Pseudomonas (5),182,833,312,1,829,3,0,0,0,99.68,0.51,0.0
GCF_002980375.1_ASM298037v1_genomic,Pseudomonas (5),182,833,312,1,830,2,0,0,0,99.68,0.13,0.0
GCF_003004465.1_ASM300446v1_genomic,Pseudomonas (5),182,833,312,1,826,6,0,0,0,99.68,0.95,0.0
GCF_003047185.1_ASM304718v1_genomic,Pseudomonas (5),182,833,312,3,827,3,0,0,0,99.2,0.26,0.0
GCF_003055225.1_ASM305522v1_genomic,Pseudomonas (5),182,833,312,1,831,1,0,0,0,99.68,0.08,0.0
GCF_003055275.1_ASM305527v1_genomic,Pseudomonas (5),182,833,312,1,828,4,0,0,0,99.68,0.77,0.0
GCF_003055385.1_ASM305538v1_genomic,Pseudomonas (5),182,833,312,1,829,3,0,0,0,99.68,0.43,0.0
GCF_003186455.1_ASM318645v1_genomic,Pseudomonas (5),182,833,312,2,826,5,0,0,0,99.6,0.8,0.0
GCF_003208145.1_ASM320814v1_genomic,Pseudomonas (5),182,833,312,0,828,5,0,0,0,100.0,0.51,0.0
GCF_003324405.1_ASM332440v1_genomic,Pseudomonas (5),182,833,312,1,830,2,0,0,0,99.68,0.4,50.0
GCF_003332755.1_ASM333275v1_genomic,Pseudomonas (5),182,833,312,1,827,5,0,0,0,99.68,0.85,0.0
GCF_003350145.1_ASM335014v1_genomic,Pseudomonas (5),182,833,312,0,831,2,0,0,0,100.0,0.4,0.0
GCF_003397485.1_ASM339748v1_genomic,Pseudomonas (5),182,833,312,1,827,5,0,0,0,99.68,0.5,0.0
GCF_003410475.1_ASM341047v1_genomic,Pseudomonas (5),182,833,312,1,831,1,0,0,0,99.68,0.08,0.0
GCF_003410565.1_ASM341056v1_genomic,Pseudomonas (5),182,833,312,1,830,2,0,0,0,99.68,0.13,0.0
GCF_003410905.1_ASM341090v1_genomic,Pseudomonas (5),182,833,312,0,822,11,0,0,0,100.0,1.79,0.0
GCF_003410975.1_ASM341097v1_genomic,Pseudomonas (5),182,833,312,1,830,2,0,0,0,99.68,0.1,0.0
GCF_003411345.1_ASM341134v1_genomic,Pseudomonas (5),182,833,312,1,831,1,0,0,0,99.68,0.08,0.0
GCF_003411355.1_ASM341135v1_genomic,Pseudomonas (5),182,833,312,1,831,1,0,0,0,99.68,0.08,0.0
GCF_003411805.1_ASM341180v1_genomic,Pseudomonas (5),182,833,312,1,831,1,0,0,0,99.68,0.08,0.0
GCF_003411895.1_ASM341189v1_genomic,Pseudomonas (5),182,833,312,1,830,2,0,0,0,99.68,0.24,0.0
GCF_003416405.1_ASM341640v1_genomic,Pseudomonas (5),182,833,312,0,829,4,0,0,0,100.0,0.43,25.0
GCF_003416545.1_ASM341654v1_genomic,Pseudomonas (5),182,833,312,1,828,4,0,0,0,99.68,0.43,25.0
GCF_003585295.1_ASM358529v1_genomic,Pseudomonas (5),182,833,312,2,829,2,0,0,0,99.36,0.13,0.0
GCF_003629245.1_ASM362924v1_genomic,Pseudomonas (5),182,833,312,2,828,3,0,0,0,99.6,0.24,66.67
GCF_003629685.1_ASM362968v1_genomic,Pseudomonas (5),182,833,312,1,831,1,0,0,0,99.68,0.08,0.0
GCF_003629975.1_ASM362997v1_genomic,Pseudomonas (5),182,833,312,4,825,4,0,0,0,98.88,0.34,75.0
GCF_003630555.1_ASM363055v1_genomic,Pseudomonas (5),182,833,312,1,829,3,0,0,0,99.68,0.51,66.67
GCF_003630575.1_ASM363057v1_genomic,Pseudomonas (5),182,833,312,1,831,1,0,0,0,99.68,0.08,0.0
GCF_003630645.1_ASM363064v1_genomic,Pseudomonas (5),182,833,312,2,826,5,0,0,0,99.6,0.62,80.0
