sseqid,stitle,mismatch,positive,gaps,ppos,pident,qcovs,evalue,bitscore,qseqid,cleaned_filename,motif_hits
1_MVBS01000001_01839,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_MVBS01000001,3
1_CAADLR010000001_04788,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CAADLR010000001,3
1_CAADPI010000001_03157,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CAADPI010000001,3
1_PSQR01000001_05877,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_PSQR01000001,3
1_FRIJ01000104_04114,unannotated protein,1,398,0,100.0,99.749,100,0.0,813.0,pao1_fabv,1_FRIJ01000104,3
1_MPVE01000001_04032,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_MPVE01000001,3
1_KI518886_00892,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_KI518886,3
1_VIGZ01000100_04110,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_VIGZ01000100,3
1_LEGQ01000001_03071,unannotated protein,1,397,0,99.75,99.749,100,0.0,813.0,pao1_fabv,1_LEGQ01000001,3
4_JQLM01000001_00932,unannotated protein,97,347,1,87.19,75.377,100,0.0,621.0,pao1_fabv,4_JQLM01000001,3
4_CP025263_01597,unannotated protein,97,347,1,87.19,75.377,100,0.0,623.0,pao1_fabv,4_CP025263,3
1_CAADOK010000001_03126,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CAADOK010000001,3
1_LLQJ01000001_04554,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_LLQJ01000001,3
4_UVVJ01000213_02235,unannotated protein,96,349,0,87.69,75.87899999999998,100,0.0,633.0,pao1_fabv,4_UVVJ01000213,4
1_RWZX01000001_04405,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_RWZX01000001,3
1_JUAB01000001_01666,unannotated protein,1,397,0,99.75,99.749,100,0.0,813.0,pao1_fabv,1_JUAB01000001,3
91_PISI01000001_00573,unannotated protein,61,374,0,94.21,84.635,99,0.0,713.0,pao1_fabv,91_PISI01000001,3
1_LEHH01000001_00716,unannotated protein,1,397,0,99.75,99.749,100,0.0,813.0,pao1_fabv,1_LEHH01000001,3
128_VFEU01000010_00673,unannotated protein,97,347,0,87.19,75.628,100,0.0,629.0,pao1_fabv,128_VFEU01000010,4
22_PZKR01000010_02900,unannotated protein,153,309,5,78.03,60.101000000000006,98,1.809999999999999e-167,472.0,pao1_fabv,22_PZKR01000010,3
22_PZKR01000010_02135,unannotated protein,153,309,5,78.03,60.101000000000006,98,1.809999999999999e-167,472.0,pao1_fabv,22_PZKR01000010,3
1_LLSG01000001_04660,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_LLSG01000001,3
1_CAADQL010000001_01893,unannotated protein,1,398,0,100.0,99.749,100,0.0,813.0,pao1_fabv,1_CAADQL010000001,3
1_LJJO01000001_02154,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_LJJO01000001,3
1_CAADNZ010000001_02673,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CAADNZ010000001,3
9_MSDE01000016_02575,unannotated protein,96,347,1,87.19,75.628,100,0.0,624.0,pao1_fabv,9_MSDE01000016,3
1_FRPH01000139_05085,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_FRPH01000139,3
1_FRPN01000109_04641,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_FRPN01000109,3
1_QVCL01000100_04141,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_QVCL01000100,3
1_RACW01000535_04211,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_RACW01000535,3
1_CWER01000001_00922,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CWER01000001,3
1_PXUG01000095_01552,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_PXUG01000095,3
4_JH635997_04057,unannotated protein,99,346,1,86.93,74.874,100,0.0,619.0,pao1_fabv,4_JH635997,3
1_NSRX01000001_02602,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NSRX01000001,3
4_KI911369_03735,unannotated protein,151,310,5,78.09,60.705,98,1.2699999999999992e-175,493.0,pao1_fabv,4_KI911369,2
1_NLBG01000001_00332,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NLBG01000001,3
1_RADH01000025_05286,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_RADH01000025,3
1_LCSW01000001_04947,unannotated protein,1,397,0,99.75,99.749,100,0.0,813.0,pao1_fabv,1_LCSW01000001,3
1_RRBK01000100_02449,unannotated protein,1,397,0,99.75,99.749,100,0.0,812.0,pao1_fabv,1_RRBK01000100,3
1_QZZB01000083_02610,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_QZZB01000083,3
4_CVTT01000084_05558,unannotated protein,96,347,1,87.19,75.628,100,0.0,624.0,pao1_fabv,4_CVTT01000084,3
1_CUWV01000001_02880,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CUWV01000001,3
1_NSXE01000001_03889,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NSXE01000001,3
1_QDGQ01000001_00679,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_QDGQ01000001,3
1_CP008859_01995,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CP008859,3
1_LJZJ01000001_05940,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_LJZJ01000001,3
14_CP027721_02643,unannotated protein,83,356,0,89.67,79.093,99,0.0,663.0,pao1_fabv,14_CP027721,4
1_JTVI01000001_05537,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_JTVI01000001,3
1_VTFM01000001_04956,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_VTFM01000001,3
1_RWOF01000001_04599,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_RWOF01000001,3
22_SMTE01000001_00605,unannotated protein,156,307,5,77.53,59.343,98,1.0399999999999994e-165,468.0,pao1_fabv,22_SMTE01000001,2
1_FRIT01000143_01796,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_FRIT01000143,3
1_LLPX01000001_04054,unannotated protein,1,397,0,99.75,99.749,100,0.0,812.0,pao1_fabv,1_LLPX01000001,3
1_NSZB01000001_04060,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NSZB01000001,3
1_RAFS01000045_01768,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_RAFS01000045,3
62_RXHZ01000001_04708,unannotated protein,97,347,1,87.19,75.377,100,0.0,621.0,pao1_fabv,62_RXHZ01000001,3
1_NSRK01000001_00348,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NSRK01000001,3
74_VSRO01000001_00327,unannotated protein,99,346,1,86.93,74.874,100,0.0,618.0,pao1_fabv,74_VSRO01000001,3
1_MULG01000001_02695,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_MULG01000001,3
1_SCZL01000001_00499,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_SCZL01000001,3
1_NSTU01000001_00598,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NSTU01000001,3
14_CP027738_02582,unannotated protein,83,356,0,89.67,79.093,99,0.0,664.0,pao1_fabv,14_CP027738,4
1_JTXB01000001_02952,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_JTXB01000001,3
1_VLHR01000010_03154,unannotated protein,1,397,0,99.75,99.749,100,0.0,813.0,pao1_fabv,1_VLHR01000010,3
1_CCOJ01000001_01758,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CCOJ01000001,3
1_JTPJ01000001_02051,unannotated protein,1,398,0,100.0,99.749,100,0.0,813.0,pao1_fabv,1_JTPJ01000001,3
1_QZZQ01000007_02009,unannotated protein,1,397,0,99.75,99.749,100,0.0,812.0,pao1_fabv,1_QZZQ01000007,3
1_RWSS01000001_03909,unannotated protein,1,397,0,99.75,99.749,100,0.0,813.0,pao1_fabv,1_RWSS01000001,3
4_CP007012_04371,unannotated protein,153,308,5,77.78,60.101000000000006,98,1.7699999999999988e-166,469.0,pao1_fabv,4_CP007012,3
1_LYTQ01000100_03683,unannotated protein,1,397,0,99.75,99.749,100,0.0,812.0,pao1_fabv,1_LYTQ01000100,3
1_LEHO01000001_04647,unannotated protein,1,397,0,99.75,99.749,100,0.0,813.0,pao1_fabv,1_LEHO01000001,3
1_NSPB01000001_02838,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NSPB01000001,3
1_LLTT01000001_04958,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_LLTT01000001,3
1_FRLE01000121_01806,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_FRLE01000121,3
1_CH482383_01960,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CH482383,3
4_QJOV01000001_02985,unannotated protein,152,309,5,78.03,60.354,98,3.8299999999999977e-168,474.0,pao1_fabv,4_QJOV01000001,3
1_KI914466_03455,unannotated protein,1,397,0,99.75,99.749,100,0.0,812.0,pao1_fabv,1_KI914466,3
1_LLPN01000001_02227,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_LLPN01000001,3
1_VWQD01000001_00817,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_VWQD01000001,3
1_LEHZ01000001_02320,unannotated protein,1,397,0,99.75,99.749,100,0.0,813.0,pao1_fabv,1_LEHZ01000001,3
1_JTPZ01000001_05476,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_JTPZ01000001,3
1_JTRJ01000001_01215,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_JTRJ01000001,3
1_NSOV01000001_02770,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NSOV01000001,3
4_BCBG01000001_04459,unannotated protein,156,307,5,77.53,59.343,98,2.919999999999998e-165,466.0,pao1_fabv,4_BCBG01000001,3
1_CP022002_04884,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CP022002,3
1_RXBP01000001_05686,unannotated protein,1,397,0,99.75,99.749,100,0.0,812.0,pao1_fabv,1_RXBP01000001,3
1_NSTG01000001_00627,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NSTG01000001,3
1_QZXZ01000047_00517,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_QZXZ01000047,3
1_CVUU01000001_06147,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CVUU01000001,3
1_LLNK01000001_03841,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_LLNK01000001,3
1_FRQO01000063_01788,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_FRQO01000063,3
1_CWGH01000001_05949,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CWGH01000001,3
1_MWXQ01000001_00611,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_MWXQ01000001,3
1_CAADLE010000001_04792,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CAADLE010000001,3
1_JTWV01000001_05032,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_JTWV01000001,3
1_QVBM01000099_01606,unannotated protein,1,397,0,99.75,99.749,100,0.0,812.0,pao1_fabv,1_QVBM01000099,3
1_AYON01000001_03588,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_AYON01000001,3
4_QJRL01000010_01153,unannotated protein,153,309,5,78.03,60.101000000000006,98,1.819999999999999e-167,472.0,pao1_fabv,4_QJRL01000010,3
1_JTXT01000001_02113,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_JTXT01000001,3
1_RWMS01000001_01291,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_RWMS01000001,3
1_LLVP01000001_02585,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_LLVP01000001,3
1_QZZJ01000002_00817,unannotated protein,1,397,0,99.75,99.749,100,0.0,812.0,pao1_fabv,1_QZZJ01000002,3
1_FRPL01000152_04378,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_FRPL01000152,3
1_NDFV01000064_02748,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NDFV01000064,3
4_QUNQ01000001_00902,unannotated protein,95,346,1,86.93,75.87899999999998,100,0.0,625.0,pao1_fabv,4_QUNQ01000001,3
1_RWMA01000001_01941,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_RWMA01000001,3
1_LLOR01000001_05017,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_LLOR01000001,3
1_NIZQ01000100_03365,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NIZQ01000100,3
1_CAADLT010000001_01943,unannotated protein,1,397,0,99.75,99.749,100,0.0,812.0,pao1_fabv,1_CAADLT010000001,3
4_UVTD01000141_01610,unannotated protein,101,347,1,87.19,74.372,100,0.0,616.0,pao1_fabv,4_UVTD01000141,3
4_LFMW01000001_00628,unannotated protein,96,345,1,86.68,75.628,100,0.0,624.0,pao1_fabv,4_LFMW01000001,3
1_CABMLY010000001_03508,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CABMLY010000001,3
1_FRPR01000088_04266,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_FRPR01000088,3
22_ALNR01000001_03964,unannotated protein,153,309,5,78.03,60.101000000000006,98,1.999999999999999e-167,472.0,pao1_fabv,22_ALNR01000001,3
1_LRYO01000001_00049,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_LRYO01000001,3
1_LEKC01000001_05167,unannotated protein,1,397,0,99.75,99.749,100,0.0,813.0,pao1_fabv,1_LEKC01000001,3
1_RXDE01000001_00230,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_RXDE01000001,3
1_LZQG01000001_04548,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_LZQG01000001,3
160_CP012400_04204,unannotated protein,101,346,1,86.93,74.372,100,0.0,617.0,pao1_fabv,160_CP012400,3
1_FRJS01000240_02260,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_FRJS01000240,3
1_RWPJ01000001_00244,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_RWPJ01000001,3
1_CAADNI010000001_02275,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CAADNI010000001,3
169_AYTD01000013_02861,unannotated protein,98,347,1,87.19,75.126,100,0.0,621.0,pao1_fabv,169_AYTD01000013,3
1_CCOZ01000001_01355,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CCOZ01000001,3
1_FRWA01000325_03018,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_FRWA01000325,3
1_LN871187_02024,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_LN871187,3
1_JUKR01000001_03618,unannotated protein,1,397,0,99.75,99.749,100,0.0,813.0,pao1_fabv,1_JUKR01000001,3
1_RHTA01000100_05528,unannotated protein,1,397,0,99.75,99.749,100,0.0,812.0,pao1_fabv,1_RHTA01000100,3
1_JTUI01000001_01958,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_JTUI01000001,3
22_CP011789_01382,unannotated protein,155,308,5,77.78,59.596,98,4.309999999999997e-166,469.0,pao1_fabv,22_CP011789,2
9_MSDK01000036_01127,unannotated protein,97,347,1,87.19,75.377,100,0.0,624.0,pao1_fabv,9_MSDK01000036,3
1_JTYF01000001_04983,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_JTYF01000001,3
1_LVEE01000001_02730,unannotated protein,1,397,0,99.75,99.749,100,0.0,812.0,pao1_fabv,1_LVEE01000001,3
1_FRLZ01000072_02635,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_FRLZ01000072,3
1_FRHL01000110_01849,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_FRHL01000110,3
1_NRBV01000001_05075,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NRBV01000001,3
1_QVCP01000100_06010,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_QVCP01000100,3
1_CAADOH010000001_03288,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CAADOH010000001,3
1_RXEN01000001_00566,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_RXEN01000001,3
123_LHVG01000001_02443,unannotated protein,82,350,0,87.94,79.39699999999998,100,0.0,662.0,pao1_fabv,123_LHVG01000001,4
1_MAZE01000063_02216,unannotated protein,1,397,0,99.75,99.749,100,0.0,812.0,pao1_fabv,1_MAZE01000063,3
1_JTQF01000001_02360,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_JTQF01000001,3
1_LEGN01000001_03531,unannotated protein,1,397,0,99.75,99.749,100,0.0,813.0,pao1_fabv,1_LEGN01000001,3
1_JTYT01000001_03268,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_JTYT01000001,3
